Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Banana,Ammapet(Uzhavar Sandhai ),84.73,-5.86
2025-03-08,Saturday,Banana,Ammapet(Uzhavar Sandhai ),84.73,-5.86
2025-03-09,Sunday,Banana,Ammapet(Uzhavar Sandhai ),84.73,-5.86
2025-03-10,Monday,Banana,Ammapet(Uzhavar Sandhai ),84.72,-5.86
2025-03-11,Tuesday,Banana,Ammapet(Uzhavar Sandhai ),84.73,-5.86
2025-03-12,Wednesday,Banana,Ammapet(Uzhavar Sandhai ),84.75,-5.83
2025-03-13,Thursday,Banana,Ammapet(Uzhavar Sandhai ),84.75,-5.84
2025-03-07,Friday,Banana,Athur(Uzhavar Sandhai ),15.09,-69.81
2025-03-08,Saturday,Banana,Athur(Uzhavar Sandhai ),13.74,-72.51
2025-03-09,Sunday,Banana,Athur(Uzhavar Sandhai ),13.75,-72.5
2025-03-10,Monday,Banana,Athur(Uzhavar Sandhai ),13.75,-72.5
2025-03-11,Tuesday,Banana,Athur(Uzhavar Sandhai ),13.75,-72.49
2025-03-12,Wednesday,Banana,Athur(Uzhavar Sandhai ),13.76,-72.47
2025-03-13,Thursday,Banana,Athur(Uzhavar Sandhai ),13.76,-72.48
2025-03-07,Friday,Banana,Attayampatti(Uzhavar Sandhai ),18.7,-62.59
2025-03-08,Saturday,Banana,Attayampatti(Uzhavar Sandhai ),16.26,-67.47
2025-03-09,Sunday,Banana,Attayampatti(Uzhavar Sandhai ),16.25,-67.5
2025-03-10,Monday,Banana,Attayampatti(Uzhavar Sandhai ),16.26,-67.48
2025-03-11,Tuesday,Banana,Attayampatti(Uzhavar Sandhai ),16.26,-67.48
2025-03-12,Wednesday,Banana,Attayampatti(Uzhavar Sandhai ),16.27,-67.46
2025-03-13,Thursday,Banana,Attayampatti(Uzhavar Sandhai ),16.25,-67.5
2025-03-07,Friday,Banana,Edapadi (Uzhavar Sandhai ),39.19,-34.68
2025-03-08,Saturday,Banana,Edapadi (Uzhavar Sandhai ),37.9,-36.83
2025-03-09,Sunday,Banana,Edapadi (Uzhavar Sandhai ),37.69,-37.19
2025-03-10,Monday,Banana,Edapadi (Uzhavar Sandhai ),37.49,-37.52
2025-03-11,Tuesday,Banana,Edapadi (Uzhavar Sandhai ),37.49,-37.52
2025-03-12,Wednesday,Banana,Edapadi (Uzhavar Sandhai ),37.5,-37.5
2025-03-13,Thursday,Banana,Edapadi (Uzhavar Sandhai ),37.5,-37.5
2025-03-07,Friday,Banana,Elampillai(Uzhavar Sandhai ),102.31,13.68
2025-03-08,Saturday,Banana,Elampillai(Uzhavar Sandhai ),102.58,13.97
2025-03-09,Sunday,Banana,Elampillai(Uzhavar Sandhai ),102.58,13.98
2025-03-10,Monday,Banana,Elampillai(Uzhavar Sandhai ),102.56,13.96
2025-03-11,Tuesday,Banana,Elampillai(Uzhavar Sandhai ),102.56,13.96
2025-03-12,Wednesday,Banana,Elampillai(Uzhavar Sandhai ),102.57,13.97
2025-03-13,Thursday,Banana,Elampillai(Uzhavar Sandhai ),102.57,13.97
2025-03-07,Friday,Banana,Hasthampatti(Uzhavar Sandhai ),91.34,-8.66
2025-03-08,Saturday,Banana,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-09,Sunday,Banana,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-10,Monday,Banana,Hasthampatti(Uzhavar Sandhai ),90.96,-9.04
2025-03-11,Tuesday,Banana,Hasthampatti(Uzhavar Sandhai ),90.96,-9.04
2025-03-12,Wednesday,Banana,Hasthampatti(Uzhavar Sandhai ),90.98,-9.02
2025-03-13,Thursday,Banana,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-07,Friday,Banana,Jalagandapuram(Uzhavar Sandhai ),18.65,-62.7
2025-03-08,Saturday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.28,-67.43
2025-03-09,Sunday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.24,-67.52
2025-03-10,Monday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.25,-67.51
2025-03-11,Tuesday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.25,-67.51
2025-03-12,Wednesday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.26,-67.48
2025-03-13,Thursday,Banana,Jalagandapuram(Uzhavar Sandhai ),16.26,-67.49
2025-03-07,Friday,Banana,Mettur(Uzhavar Sandhai ),77.51,-3.11
