Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.77,-46.14
2025-03-08,Saturday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.21,-48.94
2025-03-09,Sunday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.21,-48.93
2025-03-10,Monday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.29,-48.57
2025-03-11,Tuesday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.33,-48.34
2025-03-12,Wednesday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.34,-48.29
2025-03-13,Thursday,Banana - Green,Ammapet(Uzhavar Sandhai ),10.33,-48.33
2025-03-07,Friday,Banana - Green,Athur(Uzhavar Sandhai ),11.42,-52.41
2025-03-08,Saturday,Banana - Green,Athur(Uzhavar Sandhai ),9.85,-58.98
2025-03-09,Sunday,Banana - Green,Athur(Uzhavar Sandhai ),9.85,-58.97
2025-03-10,Monday,Banana - Green,Athur(Uzhavar Sandhai ),9.9,-58.73
2025-03-11,Tuesday,Banana - Green,Athur(Uzhavar Sandhai ),9.94,-58.56
2025-03-12,Wednesday,Banana - Green,Athur(Uzhavar Sandhai ),9.95,-58.53
2025-03-13,Thursday,Banana - Green,Athur(Uzhavar Sandhai ),9.96,-58.49
2025-03-07,Friday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.71,-51.23
2025-03-08,Saturday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.09,-53.81
2025-03-09,Sunday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.09,-53.81
2025-03-10,Monday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.08,-53.85
2025-03-11,Tuesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.12,-53.68
2025-03-12,Wednesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.12,-53.65
2025-03-13,Thursday,Banana - Green,Attayampatti(Uzhavar Sandhai ),11.11,-53.69
2025-03-07,Friday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.92,-45.38
2025-03-08,Saturday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.44,-47.81
2025-03-09,Sunday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.44,-47.81
2025-03-10,Monday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.51,-47.46
2025-03-11,Tuesday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.55,-47.25
2025-03-12,Wednesday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.56,-47.21
2025-03-13,Thursday,Banana - Green,Edapadi (Uzhavar Sandhai ),10.55,-47.25
2025-03-07,Friday,Banana - Green,Elampillai(Uzhavar Sandhai ),12.26,-59.15
2025-03-08,Saturday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.53,-64.89
2025-03-09,Sunday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.53,-64.89
2025-03-10,Monday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.53,-64.91
2025-03-11,Tuesday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.57,-64.75
2025-03-12,Wednesday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.58,-64.73
2025-03-13,Thursday,Banana - Green,Elampillai(Uzhavar Sandhai ),10.57,-64.76
2025-03-07,Friday,Banana - Green,Hasthampatti(Uzhavar Sandhai ),11.72,-51.18
2025-03-08,Saturday,Banana - Green,Hasthampatti(Uzhavar Sandhai ),10.17,-57.63
