Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Beans,Ammapet(Uzhavar Sandhai ),26.62,-55.64
2025-03-08,Saturday,Beans,Ammapet(Uzhavar Sandhai ),25.26,-57.9
2025-03-09,Sunday,Beans,Ammapet(Uzhavar Sandhai ),24.87,-58.55
2025-03-10,Monday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.69
2025-03-11,Tuesday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.69
2025-03-12,Wednesday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.68
2025-03-13,Thursday,Beans,Ammapet(Uzhavar Sandhai ),24.77,-58.71
2025-03-07,Friday,Beans,Athur(Uzhavar Sandhai ),37.48,-37.54
2025-03-08,Saturday,Beans,Athur(Uzhavar Sandhai ),35.99,-40.01
2025-03-09,Sunday,Beans,Athur(Uzhavar Sandhai ),35.68,-40.54
2025-03-10,Monday,Beans,Athur(Uzhavar Sandhai ),35.54,-40.77
2025-03-11,Tuesday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.93
2025-03-12,Wednesday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.93
2025-03-13,Thursday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.94
2025-03-07,Friday,Beans,Attayampatti(Uzhavar Sandhai ),63.52,-9.25
2025-03-08,Saturday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-09,Sunday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.65
2025-03-10,Monday,Beans,Attayampatti(Uzhavar Sandhai ),63.24,-9.65
2025-03-11,Tuesday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.65
2025-03-12,Wednesday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-13,Thursday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-07,Friday,Beans,Edapadi (Uzhavar Sandhai ),49.97,-23.12
2025-03-08,Saturday,Beans,Edapadi (Uzhavar Sandhai ),49.48,-23.88
2025-03-09,Sunday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-10,Monday,Beans,Edapadi (Uzhavar Sandhai ),49.4,-23.99
2025-03-11,Tuesday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-12,Wednesday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-13,Thursday,Beans,Edapadi (Uzhavar Sandhai ),49.4,-23.99
2025-03-07,Friday,Beans,Elampillai(Uzhavar Sandhai ),59.63,-14.81
2025-03-08,Saturday,Beans,Elampillai(Uzhavar Sandhai ),59.29,-15.3
2025-03-09,Sunday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-10,Monday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.29
2025-03-11,Tuesday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.29
2025-03-12,Wednesday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-13,Thursday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-07,Friday,Beans,Hasthampatti(Uzhavar Sandhai ),38.16,-45.49
2025-03-08,Saturday,Beans,Hasthampatti(Uzhavar Sandhai ),36.63,-47.68
2025-03-09,Sunday,Beans,Hasthampatti(Uzhavar Sandhai ),36.2,-48.28
2025-03-10,Monday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-11,Tuesday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-12,Wednesday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.34
2025-03-13,Thursday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-07,Friday,Beans,Mettur(Uzhavar Sandhai ),34.09,-43.19
2025-03-08,Saturday,Beans,Mettur(Uzhavar Sandhai ),33.22,-44.63
2025-03-09,Sunday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-10,Monday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-11,Tuesday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-12,Wednesday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-13,Thursday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-07,Friday,Beans,Thammampatti (Uzhavar Sandhai ),39.69,-33.84
2025-03-08,Saturday,Beans,Thammampatti (Uzhavar Sandhai ),38.78,-35.36
2025-03-09,Sunday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.49
2025-03-10,Monday,Beans,Thammampatti (Uzhavar Sandhai ),38.69,-35.51
2025-03-11,Tuesday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.51
2025-03-12,Wednesday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.5
2025-03-13,Thursday,Beans,Thammampatti (Uzhavar Sandhai ),38.69,-35.51
2025-03-07,Friday,Beans,Jalagandapuram(Uzhavar Sandhai ),44.01,-26.65
2025-03-08,Saturday,Beans,Jalagandapuram(Uzhavar Sandhai ),43.05,-28.24
2025-03-09,Sunday,Beans,Jalagandapuram(Uzhavar Sandhai ),42.94,-28.44
2025-03-10,Monday,Beans,Jalagandapuram(Uzhavar Sandhai ),42.93,-28.45
2025-03-11,Tuesday,Beans,Jalagandapuram(Uzhavar Sandhai ),42.93,-28.45
2025-03-12,Wednesday,Beans,Jalagandapuram(Uzhavar Sandhai ),42.93,-28.44
2025-03-13,Thursday,Beans,Jalagandapuram(Uzhavar Sandhai ),42.93,-28.45
2025-03-07,Friday,Beans,Thathakapatti(Uzhavar Sandhai ),44.59,-36.3
2025-03-08,Saturday,Beans,Thathakapatti(Uzhavar Sandhai ),43.45,-37.93
2025-03-09,Sunday,Beans,Thathakapatti(Uzhavar Sandhai ),43.35,-38.08
2025-03-10,Monday,Beans,Thathakapatti(Uzhavar Sandhai ),43.34,-38.09
2025-03-11,Tuesday,Beans,Thathakapatti(Uzhavar Sandhai ),43.34,-38.08
2025-03-12,Wednesday,Beans,Thathakapatti(Uzhavar Sandhai ),43.34,-38.08
2025-03-13,Thursday,Beans,Thathakapatti(Uzhavar Sandhai ),43.34,-38.09
2025-03-07,Friday,Beans,Sooramangalam(Uzhavar Sandhai ),40.32,-42.4
2025-03-08,Saturday,Beans,Sooramangalam(Uzhavar Sandhai ),39.3,-43.85
2025-03-09,Sunday,Beans,Sooramangalam(Uzhavar Sandhai ),39.07,-44.19
2025-03-10,Monday,Beans,Sooramangalam(Uzhavar Sandhai ),39.04,-44.22
2025-03-11,Tuesday,Beans,Sooramangalam(Uzhavar Sandhai ),39.04,-44.22
2025-03-12,Wednesday,Beans,Sooramangalam(Uzhavar Sandhai ),39.04,-44.23
2025-03-13,Thursday,Beans,Sooramangalam(Uzhavar Sandhai ),39.04,-44.23
