Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Beetroot,Ammapet(Uzhavar Sandhai ),12.31,-75.39
2025-03-08,Saturday,Beetroot,Ammapet(Uzhavar Sandhai ),9.3,-81.4
2025-03-09,Sunday,Beetroot,Ammapet(Uzhavar Sandhai ),9.31,-81.39
2025-03-10,Monday,Beetroot,Ammapet(Uzhavar Sandhai ),9.38,-81.23
2025-03-11,Tuesday,Beetroot,Ammapet(Uzhavar Sandhai ),9.43,-81.14
2025-03-12,Wednesday,Beetroot,Ammapet(Uzhavar Sandhai ),9.44,-81.12
2025-03-13,Thursday,Beetroot,Ammapet(Uzhavar Sandhai ),9.42,-81.17
2025-03-07,Friday,Beetroot,Athur(Uzhavar Sandhai ),11.42,-67.38
2025-03-08,Saturday,Beetroot,Athur(Uzhavar Sandhai ),8.95,-74.44
2025-03-09,Sunday,Beetroot,Athur(Uzhavar Sandhai ),8.95,-74.42
2025-03-10,Monday,Beetroot,Athur(Uzhavar Sandhai ),9.02,-74.24
2025-03-11,Tuesday,Beetroot,Athur(Uzhavar Sandhai ),9.05,-74.13
2025-03-12,Wednesday,Beetroot,Athur(Uzhavar Sandhai ),9.07,-74.1
2025-03-13,Thursday,Beetroot,Athur(Uzhavar Sandhai ),9.05,-74.13
2025-03-07,Friday,Beetroot,Attayampatti(Uzhavar Sandhai ),11.7,-67.49
2025-03-08,Saturday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.41,-71.1
2025-03-09,Sunday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.41,-71.09
2025-03-10,Monday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.41,-71.09
2025-03-11,Tuesday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.45,-70.98
2025-03-12,Wednesday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.46,-70.95
2025-03-13,Thursday,Beetroot,Attayampatti(Uzhavar Sandhai ),10.43,-71.03
2025-03-07,Friday,Beetroot,Edapadi (Uzhavar Sandhai ),61.83,-11.67
2025-03-08,Saturday,Beetroot,Edapadi (Uzhavar Sandhai ),61.69,-11.87
2025-03-09,Sunday,Beetroot,Edapadi (Uzhavar Sandhai ),61.69,-11.87
2025-03-10,Monday,Beetroot,Edapadi (Uzhavar Sandhai ),61.69,-11.87
2025-03-11,Tuesday,Beetroot,Edapadi (Uzhavar Sandhai ),61.69,-11.87
2025-03-12,Wednesday,Beetroot,Edapadi (Uzhavar Sandhai ),61.7,-11.85
2025-03-13,Thursday,Beetroot,Edapadi (Uzhavar Sandhai ),61.7,-11.86
2025-03-07,Friday,Beetroot,Elampillai(Uzhavar Sandhai ),15.87,-68.26
2025-03-08,Saturday,Beetroot,Elampillai(Uzhavar Sandhai ),13.98,-72.04
2025-03-09,Sunday,Beetroot,Elampillai(Uzhavar Sandhai ),14.0,-72.0
2025-03-10,Monday,Beetroot,Elampillai(Uzhavar Sandhai ),14.0,-71.99
2025-03-11,Tuesday,Beetroot,Elampillai(Uzhavar Sandhai ),14.0,-71.99
2025-03-12,Wednesday,Beetroot,Elampillai(Uzhavar Sandhai ),14.02,-71.97
2025-03-13,Thursday,Beetroot,Elampillai(Uzhavar Sandhai ),13.99,-72.01
2025-03-07,Friday,Beetroot,Hasthampatti(Uzhavar Sandhai ),36.96,-47.2
2025-03-08,Saturday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.6,-49.14
2025-03-09,Sunday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.36,-49.49
2025-03-10,Monday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.33,-49.53
2025-03-11,Tuesday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.33,-49.53
2025-03-12,Wednesday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.34,-49.51
2025-03-13,Thursday,Beetroot,Hasthampatti(Uzhavar Sandhai ),35.33,-49.52
2025-03-07,Friday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),11.41,-61.97
2025-03-08,Saturday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.14,-69.53
2025-03-09,Sunday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.14,-69.52
2025-03-10,Monday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.22,-69.28
2025-03-11,Tuesday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.26,-69.15
2025-03-12,Wednesday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.27,-69.11
2025-03-13,Thursday,Beetroot,Jalagandapuram(Uzhavar Sandhai ),9.26,-69.14
2025-03-07,Friday,Beetroot,Mettur(Uzhavar Sandhai ),12.13,-69.66
2025-03-08,Saturday,Beetroot,Mettur(Uzhavar Sandhai ),9.36,-76.59
2025-03-09,Sunday,Beetroot,Mettur(Uzhavar Sandhai ),9.37,-76.58
2025-03-10,Monday,Beetroot,Mettur(Uzhavar Sandhai ),9.43,-76.41
2025-03-11,Tuesday,Beetroot,Mettur(Uzhavar Sandhai ),9.48,-76.29
2025-03-12,Wednesday,Beetroot,Mettur(Uzhavar Sandhai ),9.49,-76.27
2025-03-13,Thursday,Beetroot,Mettur(Uzhavar Sandhai ),9.49,-76.28
2025-03-07,Friday,Beetroot,Sooramangalam(Uzhavar Sandhai ),39.22,-43.96
2025-03-08,Saturday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.57,-44.9
2025-03-09,Sunday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.57,-44.9
2025-03-10,Monday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.57,-44.89
2025-03-11,Tuesday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.58,-44.89
2025-03-12,Wednesday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.59,-44.88
2025-03-13,Thursday,Beetroot,Sooramangalam(Uzhavar Sandhai ),38.58,-44.89
