Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),60.71,-24.12
2025-03-08,Saturday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.87,-25.17
2025-03-09,Sunday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.9,-25.13
2025-03-10,Monday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.89,-25.14
2025-03-11,Tuesday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.89,-25.13
2025-03-12,Wednesday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.9,-25.13
2025-03-13,Thursday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),59.9,-25.13
2025-03-07,Friday,Betal Leaves,Athur(Uzhavar Sandhai ),99.04,10.05
2025-03-08,Saturday,Betal Leaves,Athur(Uzhavar Sandhai ),99.12,10.13
2025-03-09,Sunday,Betal Leaves,Athur(Uzhavar Sandhai ),99.12,10.13
2025-03-10,Monday,Betal Leaves,Athur(Uzhavar Sandhai ),99.1,10.11
2025-03-11,Tuesday,Betal Leaves,Athur(Uzhavar Sandhai ),99.1,10.11
2025-03-12,Wednesday,Betal Leaves,Athur(Uzhavar Sandhai ),99.11,10.12
2025-03-13,Thursday,Betal Leaves,Athur(Uzhavar Sandhai ),99.11,10.12
