Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cabbage,Ammapet(Uzhavar Sandhai ),11.85,-52.59
2025-03-08,Saturday,Cabbage,Ammapet(Uzhavar Sandhai ),10.42,-58.31
2025-03-09,Sunday,Cabbage,Ammapet(Uzhavar Sandhai ),10.42,-58.32
2025-03-10,Monday,Cabbage,Ammapet(Uzhavar Sandhai ),10.49,-58.06
2025-03-11,Tuesday,Cabbage,Ammapet(Uzhavar Sandhai ),10.54,-57.86
2025-03-12,Wednesday,Cabbage,Ammapet(Uzhavar Sandhai ),10.55,-57.8
2025-03-13,Thursday,Cabbage,Ammapet(Uzhavar Sandhai ),10.56,-57.77
2025-03-07,Friday,Cabbage,Athur(Uzhavar Sandhai ),12.13,-59.58
2025-03-08,Saturday,Cabbage,Athur(Uzhavar Sandhai ),10.04,-66.54
2025-03-09,Sunday,Cabbage,Athur(Uzhavar Sandhai ),10.04,-66.54
2025-03-10,Monday,Cabbage,Athur(Uzhavar Sandhai ),10.09,-66.35
2025-03-11,Tuesday,Cabbage,Athur(Uzhavar Sandhai ),10.14,-66.19
2025-03-12,Wednesday,Cabbage,Athur(Uzhavar Sandhai ),10.16,-66.14
2025-03-13,Thursday,Cabbage,Athur(Uzhavar Sandhai ),10.17,-66.11
2025-03-07,Friday,Cabbage,Attayampatti(Uzhavar Sandhai ),12.25,-59.17
2025-03-08,Saturday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.25,-62.51
2025-03-09,Sunday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.25,-62.51
2025-03-10,Monday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.25,-62.52
2025-03-11,Tuesday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.3,-62.35
2025-03-12,Wednesday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.31,-62.31
2025-03-13,Thursday,Cabbage,Attayampatti(Uzhavar Sandhai ),11.31,-62.29
2025-03-07,Friday,Cabbage,Edapadi (Uzhavar Sandhai ),12.48,-63.29
2025-03-08,Saturday,Cabbage,Edapadi (Uzhavar Sandhai ),10.63,-68.72
2025-03-09,Sunday,Cabbage,Edapadi (Uzhavar Sandhai ),10.63,-68.72
2025-03-10,Monday,Cabbage,Edapadi (Uzhavar Sandhai ),10.71,-68.51
2025-03-11,Tuesday,Cabbage,Edapadi (Uzhavar Sandhai ),10.76,-68.37
2025-03-12,Wednesday,Cabbage,Edapadi (Uzhavar Sandhai ),10.77,-68.32
2025-03-13,Thursday,Cabbage,Edapadi (Uzhavar Sandhai ),10.78,-68.3
2025-03-07,Friday,Cabbage,Elampillai(Uzhavar Sandhai ),12.58,-68.55
2025-03-08,Saturday,Cabbage,Elampillai(Uzhavar Sandhai ),10.67,-73.33
2025-03-09,Sunday,Cabbage,Elampillai(Uzhavar Sandhai ),10.67,-73.34
2025-03-10,Monday,Cabbage,Elampillai(Uzhavar Sandhai ),10.66,-73.36
2025-03-11,Tuesday,Cabbage,Elampillai(Uzhavar Sandhai ),10.7,-73.24
2025-03-12,Wednesday,Cabbage,Elampillai(Uzhavar Sandhai ),10.72,-73.2
2025-03-13,Thursday,Cabbage,Elampillai(Uzhavar Sandhai ),10.73,-73.19
2025-03-07,Friday,Cabbage,Hasthampatti(Uzhavar Sandhai ),12.74,-68.14
2025-03-08,Saturday,Cabbage,Hasthampatti(Uzhavar Sandhai ),10.28,-74.31
2025-03-09,Sunday,Cabbage,Hasthampatti(Uzhavar Sandhai ),10.28,-74.3
