Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Capsicum,Ammapet(Uzhavar Sandhai ),13.45,-73.09
2025-03-08,Saturday,Capsicum,Ammapet(Uzhavar Sandhai ),10.57,-78.86
2025-03-09,Sunday,Capsicum,Ammapet(Uzhavar Sandhai ),10.57,-78.87
2025-03-10,Monday,Capsicum,Ammapet(Uzhavar Sandhai ),10.63,-78.73
2025-03-11,Tuesday,Capsicum,Ammapet(Uzhavar Sandhai ),10.68,-78.64
2025-03-12,Wednesday,Capsicum,Ammapet(Uzhavar Sandhai ),10.69,-78.61
2025-03-13,Thursday,Capsicum,Ammapet(Uzhavar Sandhai ),10.7,-78.6
2025-03-07,Friday,Capsicum,Athur(Uzhavar Sandhai ),15.59,-68.82
2025-03-08,Saturday,Capsicum,Athur(Uzhavar Sandhai ),14.12,-71.77
2025-03-09,Sunday,Capsicum,Athur(Uzhavar Sandhai ),14.11,-71.77
2025-03-10,Monday,Capsicum,Athur(Uzhavar Sandhai ),14.11,-71.77
2025-03-11,Tuesday,Capsicum,Athur(Uzhavar Sandhai ),14.11,-71.77
2025-03-12,Wednesday,Capsicum,Athur(Uzhavar Sandhai ),14.12,-71.76
2025-03-13,Thursday,Capsicum,Athur(Uzhavar Sandhai ),14.12,-71.76
2025-03-07,Friday,Capsicum,Attayampatti(Uzhavar Sandhai ),31.01,-44.63
2025-03-08,Saturday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.06,-46.32
2025-03-09,Sunday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.07,-46.31
2025-03-10,Monday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.06,-46.31
2025-03-11,Tuesday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.07,-46.31
2025-03-12,Wednesday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.07,-46.3
2025-03-13,Thursday,Capsicum,Attayampatti(Uzhavar Sandhai ),30.07,-46.31
2025-03-07,Friday,Capsicum,Edapadi (Uzhavar Sandhai ),18.36,-63.27
2025-03-08,Saturday,Capsicum,Edapadi (Uzhavar Sandhai ),16.32,-67.36
2025-03-09,Sunday,Capsicum,Edapadi (Uzhavar Sandhai ),16.35,-67.29
2025-03-10,Monday,Capsicum,Edapadi (Uzhavar Sandhai ),16.35,-67.29
2025-03-11,Tuesday,Capsicum,Edapadi (Uzhavar Sandhai ),16.35,-67.29
2025-03-12,Wednesday,Capsicum,Edapadi (Uzhavar Sandhai ),16.36,-67.28
2025-03-13,Thursday,Capsicum,Edapadi (Uzhavar Sandhai ),16.36,-67.28
2025-03-07,Friday,Capsicum,Elampillai(Uzhavar Sandhai ),16.58,-66.85
2025-03-08,Saturday,Capsicum,Elampillai(Uzhavar Sandhai ),14.83,-70.34
2025-03-09,Sunday,Capsicum,Elampillai(Uzhavar Sandhai ),14.83,-70.34
2025-03-10,Monday,Capsicum,Elampillai(Uzhavar Sandhai ),14.83,-70.34
2025-03-11,Tuesday,Capsicum,Elampillai(Uzhavar Sandhai ),14.83,-70.34
2025-03-12,Wednesday,Capsicum,Elampillai(Uzhavar Sandhai ),14.84,-70.32
2025-03-13,Thursday,Capsicum,Elampillai(Uzhavar Sandhai ),14.84,-70.33
2025-03-07,Friday,Capsicum,Hasthampatti(Uzhavar Sandhai ),13.42,-73.15
2025-03-08,Saturday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.43,-79.14
2025-03-09,Sunday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.43,-79.14
2025-03-10,Monday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.49,-79.02
2025-03-11,Tuesday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.54,-78.93
2025-03-12,Wednesday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.55,-78.91
2025-03-13,Thursday,Capsicum,Hasthampatti(Uzhavar Sandhai ),10.55,-78.89
2025-03-07,Friday,Capsicum,Sooramangalam(Uzhavar Sandhai ),13.43,-73.13
2025-03-08,Saturday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.37,-79.26
2025-03-09,Sunday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.37,-79.26
2025-03-10,Monday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.43,-79.14
2025-03-11,Tuesday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.48,-79.04
2025-03-12,Wednesday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.49,-79.02
2025-03-13,Thursday,Capsicum,Sooramangalam(Uzhavar Sandhai ),10.5,-79.01
2025-03-07,Friday,Capsicum,Thammampatti (Uzhavar Sandhai ),25.66,-52.48
2025-03-08,Saturday,Capsicum,Thammampatti (Uzhavar Sandhai ),24.21,-55.16
