Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Carrot,Ammapet(Uzhavar Sandhai ),44.21,-34.99
2025-03-08,Saturday,Carrot,Ammapet(Uzhavar Sandhai ),43.09,-36.63
2025-03-09,Sunday,Carrot,Ammapet(Uzhavar Sandhai ),42.99,-36.77
2025-03-10,Monday,Carrot,Ammapet(Uzhavar Sandhai ),42.99,-36.78
2025-03-11,Tuesday,Carrot,Ammapet(Uzhavar Sandhai ),42.98,-36.79
2025-03-12,Wednesday,Carrot,Ammapet(Uzhavar Sandhai ),42.99,-36.77
2025-03-13,Thursday,Carrot,Ammapet(Uzhavar Sandhai ),42.99,-36.78
2025-03-07,Friday,Carrot,Athur(Uzhavar Sandhai ),49.55,-24.92
2025-03-08,Saturday,Carrot,Athur(Uzhavar Sandhai ),48.98,-25.79
2025-03-09,Sunday,Carrot,Athur(Uzhavar Sandhai ),49.09,-25.63
2025-03-10,Monday,Carrot,Athur(Uzhavar Sandhai ),49.0,-25.75
2025-03-11,Tuesday,Carrot,Athur(Uzhavar Sandhai ),49.08,-25.64
2025-03-12,Wednesday,Carrot,Athur(Uzhavar Sandhai ),49.01,-25.75
2025-03-13,Thursday,Carrot,Athur(Uzhavar Sandhai ),49.08,-25.63
2025-03-07,Friday,Carrot,Attayampatti(Uzhavar Sandhai ),43.65,-27.25
2025-03-08,Saturday,Carrot,Attayampatti(Uzhavar Sandhai ),42.67,-28.88
2025-03-09,Sunday,Carrot,Attayampatti(Uzhavar Sandhai ),42.57,-29.05
2025-03-10,Monday,Carrot,Attayampatti(Uzhavar Sandhai ),42.57,-29.06
2025-03-11,Tuesday,Carrot,Attayampatti(Uzhavar Sandhai ),42.56,-29.06
2025-03-12,Wednesday,Carrot,Attayampatti(Uzhavar Sandhai ),42.57,-29.05
2025-03-13,Thursday,Carrot,Attayampatti(Uzhavar Sandhai ),42.57,-29.05
2025-03-07,Friday,Carrot,Edapadi (Uzhavar Sandhai ),53.41,-19.08
2025-03-08,Saturday,Carrot,Edapadi (Uzhavar Sandhai ),53.05,-19.62
2025-03-09,Sunday,Carrot,Edapadi (Uzhavar Sandhai ),53.05,-19.62
2025-03-10,Monday,Carrot,Edapadi (Uzhavar Sandhai ),53.05,-19.63
2025-03-11,Tuesday,Carrot,Edapadi (Uzhavar Sandhai ),53.04,-19.63
2025-03-12,Wednesday,Carrot,Edapadi (Uzhavar Sandhai ),53.05,-19.62
2025-03-13,Thursday,Carrot,Edapadi (Uzhavar Sandhai ),53.05,-19.62
2025-03-07,Friday,Carrot,Elampillai(Uzhavar Sandhai ),49.35,-24.08
2025-03-08,Saturday,Carrot,Elampillai(Uzhavar Sandhai ),48.89,-24.78
2025-03-09,Sunday,Carrot,Elampillai(Uzhavar Sandhai ),49.01,-24.61
2025-03-10,Monday,Carrot,Elampillai(Uzhavar Sandhai ),49.0,-24.62
2025-03-11,Tuesday,Carrot,Elampillai(Uzhavar Sandhai ),48.99,-24.63
2025-03-12,Wednesday,Carrot,Elampillai(Uzhavar Sandhai ),49.0,-24.61
2025-03-13,Thursday,Carrot,Elampillai(Uzhavar Sandhai ),49.0,-24.62
2025-03-07,Friday,Carrot,Hasthampatti(Uzhavar Sandhai ),27.49,-57.7
2025-03-08,Saturday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.99,-60.02
2025-03-09,Sunday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.95,-60.08
2025-03-10,Monday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.94,-60.09
2025-03-11,Tuesday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.94,-60.09
2025-03-12,Wednesday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.95,-60.08
2025-03-13,Thursday,Carrot,Hasthampatti(Uzhavar Sandhai ),25.95,-60.08
