Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),12.98,-71.15
2025-03-08,Saturday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.09,-77.58
2025-03-09,Sunday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.09,-77.58
2025-03-10,Monday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.16,-77.42
2025-03-11,Tuesday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.21,-77.31
2025-03-12,Wednesday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.22,-77.29
2025-03-13,Thursday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),10.21,-77.31
2025-03-07,Friday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),12.7,-68.24
2025-03-08,Saturday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.85,-75.37
2025-03-09,Sunday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.85,-75.36
2025-03-10,Monday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.91,-75.22
2025-03-11,Tuesday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.96,-75.1
2025-03-12,Wednesday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.97,-75.08
2025-03-13,Thursday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),9.97,-75.06
2025-03-07,Friday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),12.8,-67.99
2025-03-08,Saturday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.37,-74.06
2025-03-09,Sunday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.37,-74.06
2025-03-10,Monday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.45,-73.88
2025-03-11,Tuesday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.49,-73.76
2025-03-12,Wednesday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.5,-73.74
2025-03-13,Thursday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),10.49,-73.77
2025-03-07,Friday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),13.23,-73.55
2025-03-08,Saturday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.08,-79.84
2025-03-09,Sunday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.08,-79.83
2025-03-10,Monday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.15,-79.71
2025-03-11,Tuesday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.19,-79.61
2025-03-12,Wednesday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.2,-79.6
2025-03-13,Thursday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),10.21,-79.58
2025-03-07,Friday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),12.63,-63.93
2025-03-08,Saturday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),9.89,-71.74
2025-03-09,Sunday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),9.89,-71.73
2025-03-10,Monday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),9.96,-71.54
2025-03-11,Tuesday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),10.01,-71.4
2025-03-12,Wednesday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),10.02,-71.38
2025-03-13,Thursday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),10.02,-71.36
2025-03-07,Friday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),12.91,-67.73
2025-03-08,Saturday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.01,-74.98
2025-03-09,Sunday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.01,-74.97
2025-03-10,Monday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.08,-74.81
2025-03-11,Tuesday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.12,-74.69
2025-03-12,Wednesday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.13,-74.66
2025-03-13,Thursday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),10.14,-74.65
2025-03-07,Friday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),13.24,-73.52
2025-03-08,Saturday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.01,-79.98
2025-03-09,Sunday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.01,-79.97
2025-03-10,Monday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.07,-79.85
2025-03-11,Tuesday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.12,-79.75
2025-03-12,Wednesday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.13,-79.73
2025-03-13,Thursday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),10.14,-79.72
2025-03-07,Friday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),12.82,-67.94
2025-03-08,Saturday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),10.02,-74.96
2025-03-09,Sunday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),10.02,-74.95
