Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Coconut,Ammapet(Uzhavar Sandhai ),46.38,-33.75
2025-03-08,Saturday,Coconut,Ammapet(Uzhavar Sandhai ),45.48,-35.02
2025-03-09,Sunday,Coconut,Ammapet(Uzhavar Sandhai ),45.41,-35.14
2025-03-10,Monday,Coconut,Ammapet(Uzhavar Sandhai ),45.4,-35.14
2025-03-11,Tuesday,Coconut,Ammapet(Uzhavar Sandhai ),45.4,-35.14
2025-03-12,Wednesday,Coconut,Ammapet(Uzhavar Sandhai ),45.41,-35.13
2025-03-13,Thursday,Coconut,Ammapet(Uzhavar Sandhai ),45.41,-35.14
2025-03-07,Friday,Coconut,Athur(Uzhavar Sandhai ),47.7,-26.61
2025-03-08,Saturday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.78
2025-03-09,Sunday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.79
2025-03-10,Monday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.79
2025-03-11,Tuesday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.79
2025-03-12,Wednesday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.78
2025-03-13,Thursday,Coconut,Athur(Uzhavar Sandhai ),46.94,-27.78
2025-03-07,Friday,Coconut,Attayampatti(Uzhavar Sandhai ),63.17,-9.76
2025-03-08,Saturday,Coconut,Attayampatti(Uzhavar Sandhai ),62.87,-10.19
2025-03-09,Sunday,Coconut,Attayampatti(Uzhavar Sandhai ),62.9,-10.15
2025-03-10,Monday,Coconut,Attayampatti(Uzhavar Sandhai ),62.89,-10.15
2025-03-11,Tuesday,Coconut,Attayampatti(Uzhavar Sandhai ),62.9,-10.15
2025-03-12,Wednesday,Coconut,Attayampatti(Uzhavar Sandhai ),62.9,-10.14
2025-03-13,Thursday,Coconut,Attayampatti(Uzhavar Sandhai ),62.9,-10.14
2025-03-07,Friday,Coconut,Edapadi (Uzhavar Sandhai ),62.79,-10.29
2025-03-08,Saturday,Coconut,Edapadi (Uzhavar Sandhai ),62.45,-10.78
2025-03-09,Sunday,Coconut,Edapadi (Uzhavar Sandhai ),62.46,-10.78
2025-03-10,Monday,Coconut,Edapadi (Uzhavar Sandhai ),62.45,-10.78
2025-03-11,Tuesday,Coconut,Edapadi (Uzhavar Sandhai ),62.45,-10.78
2025-03-12,Wednesday,Coconut,Edapadi (Uzhavar Sandhai ),62.46,-10.78
2025-03-13,Thursday,Coconut,Edapadi (Uzhavar Sandhai ),62.46,-10.78
2025-03-07,Friday,Coconut,Elampillai(Uzhavar Sandhai ),59.3,-15.29
2025-03-08,Saturday,Coconut,Elampillai(Uzhavar Sandhai ),58.98,-15.75
2025-03-09,Sunday,Coconut,Elampillai(Uzhavar Sandhai ),58.9,-15.85
2025-03-10,Monday,Coconut,Elampillai(Uzhavar Sandhai ),58.9,-15.86
2025-03-11,Tuesday,Coconut,Elampillai(Uzhavar Sandhai ),58.9,-15.86
2025-03-12,Wednesday,Coconut,Elampillai(Uzhavar Sandhai ),58.9,-15.85
2025-03-13,Thursday,Coconut,Elampillai(Uzhavar Sandhai ),58.9,-15.85
2025-03-07,Friday,Coconut,Hasthampatti(Uzhavar Sandhai ),37.89,-45.87
2025-03-08,Saturday,Coconut,Hasthampatti(Uzhavar Sandhai ),36.22,-48.25
2025-03-09,Sunday,Coconut,Hasthampatti(Uzhavar Sandhai ),35.87,-48.76
2025-03-10,Monday,Coconut,Hasthampatti(Uzhavar Sandhai ),35.73,-48.95
2025-03-11,Tuesday,Coconut,Hasthampatti(Uzhavar Sandhai ),35.6,-49.15
2025-03-12,Wednesday,Coconut,Hasthampatti(Uzhavar Sandhai ),35.49,-49.29
2025-03-13,Thursday,Coconut,Hasthampatti(Uzhavar Sandhai ),35.49,-49.3
2025-03-07,Friday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.39,-17.87
2025-03-08,Saturday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.44
2025-03-09,Sunday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.43
2025-03-10,Monday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.43
2025-03-11,Tuesday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.43
2025-03-12,Wednesday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.43
2025-03-13,Thursday,Coconut,Jalagandapuram(Uzhavar Sandhai ),53.02,-18.43
2025-03-07,Friday,Coconut,Mettur(Uzhavar Sandhai ),55.71,-20.41
2025-03-08,Saturday,Coconut,Mettur(Uzhavar Sandhai ),55.33,-20.96
2025-03-09,Sunday,Coconut,Mettur(Uzhavar Sandhai ),55.28,-21.03
2025-03-10,Monday,Coconut,Mettur(Uzhavar Sandhai ),55.28,-21.04
2025-03-11,Tuesday,Coconut,Mettur(Uzhavar Sandhai ),55.28,-21.03
2025-03-12,Wednesday,Coconut,Mettur(Uzhavar Sandhai ),55.28,-21.02
2025-03-13,Thursday,Coconut,Mettur(Uzhavar Sandhai ),55.28,-21.03
2025-03-07,Friday,Coconut,Sooramangalam(Uzhavar Sandhai ),40.09,-42.73
2025-03-08,Saturday,Coconut,Sooramangalam(Uzhavar Sandhai ),39.05,-44.21
2025-03-09,Sunday,Coconut,Sooramangalam(Uzhavar Sandhai ),38.8,-44.57
2025-03-10,Monday,Coconut,Sooramangalam(Uzhavar Sandhai ),38.81,-44.56
2025-03-11,Tuesday,Coconut,Sooramangalam(Uzhavar Sandhai ),38.81,-44.56
2025-03-12,Wednesday,Coconut,Sooramangalam(Uzhavar Sandhai ),38.81,-44.56
2025-03-13,Thursday,Coconut,Sooramangalam(Uzhavar Sandhai ),38.81,-44.56
2025-03-07,Friday,Coconut,Thammampatti (Uzhavar Sandhai ),59.24,-15.37
2025-03-08,Saturday,Coconut,Thammampatti (Uzhavar Sandhai ),59.03,-15.67
2025-03-09,Sunday,Coconut,Thammampatti (Uzhavar Sandhai ),58.96,-15.77
2025-03-10,Monday,Coconut,Thammampatti (Uzhavar Sandhai ),58.96,-15.77
2025-03-11,Tuesday,Coconut,Thammampatti (Uzhavar Sandhai ),58.96,-15.77
2025-03-12,Wednesday,Coconut,Thammampatti (Uzhavar Sandhai ),58.96,-15.76
2025-03-13,Thursday,Coconut,Thammampatti (Uzhavar Sandhai ),58.96,-15.77
2025-03-07,Friday,Coconut,Thathakapatti(Uzhavar Sandhai ),44.27,-36.76
2025-03-08,Saturday,Coconut,Thathakapatti(Uzhavar Sandhai ),43.07,-38.47
2025-03-09,Sunday,Coconut,Thathakapatti(Uzhavar Sandhai ),42.95,-38.64
2025-03-10,Monday,Coconut,Thathakapatti(Uzhavar Sandhai ),42.94,-38.65
2025-03-11,Tuesday,Coconut,Thathakapatti(Uzhavar Sandhai ),42.94,-38.65
2025-03-12,Wednesday,Coconut,Thathakapatti(Uzhavar Sandhai ),42.95,-38.64
2025-03-13,Thursday,Coconut,Thathakapatti(Uzhavar Sandhai ),42.95,-38.65
