Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Colacasia,Mettur(Uzhavar Sandhai ),11.93,-70.17
2025-03-08,Saturday,Colacasia,Mettur(Uzhavar Sandhai ),9.79,-75.51
2025-03-09,Sunday,Colacasia,Mettur(Uzhavar Sandhai ),9.8,-75.5
2025-03-10,Monday,Colacasia,Mettur(Uzhavar Sandhai ),9.85,-75.37
2025-03-11,Tuesday,Colacasia,Mettur(Uzhavar Sandhai ),9.9,-75.25
2025-03-12,Wednesday,Colacasia,Mettur(Uzhavar Sandhai ),9.92,-75.21
2025-03-13,Thursday,Colacasia,Mettur(Uzhavar Sandhai ),9.91,-75.22
2025-03-07,Friday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.91,-15.66
2025-03-08,Saturday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.61,-15.99
2025-03-09,Sunday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.66,-15.94
2025-03-10,Monday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.64,-15.96
2025-03-11,Tuesday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.64,-15.95
2025-03-12,Wednesday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.66,-15.94
2025-03-13,Thursday,Colacasia,Sooramangalam(Uzhavar Sandhai ),75.65,-15.95
2025-03-07,Friday,Colacasia,Hasthampatti(Uzhavar Sandhai ),55.59,-30.51
2025-03-08,Saturday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.8,-31.5
2025-03-09,Sunday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.84,-31.45
2025-03-10,Monday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.83,-31.46
2025-03-11,Tuesday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.83,-31.46
2025-03-12,Wednesday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.84,-31.45
2025-03-13,Thursday,Colacasia,Hasthampatti(Uzhavar Sandhai ),54.84,-31.45
2025-03-07,Friday,Colacasia,Thathakapatti(Uzhavar Sandhai ),60.35,-24.56
2025-03-08,Saturday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.72,-25.35
2025-03-09,Sunday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.76,-25.3
2025-03-10,Monday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.75,-25.31
2025-03-11,Tuesday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.75,-25.31
2025-03-12,Wednesday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.76,-25.29
2025-03-13,Thursday,Colacasia,Thathakapatti(Uzhavar Sandhai ),59.76,-25.3
