Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),12.24,-74.49
2025-03-08,Saturday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.26,-80.7
2025-03-09,Sunday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.27,-80.7
2025-03-10,Monday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.34,-80.54
2025-03-11,Tuesday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.39,-80.45
2025-03-12,Wednesday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.4,-80.42
2025-03-13,Thursday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),9.39,-80.44
2025-03-07,Friday,Coriander(Leaves),Athur(Uzhavar Sandhai ),11.76,-70.59
2025-03-08,Saturday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.04,-77.4
2025-03-09,Sunday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.04,-77.4
2025-03-10,Monday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.09,-77.27
2025-03-11,Tuesday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.14,-77.15
2025-03-12,Wednesday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.15,-77.12
2025-03-13,Thursday,Coriander(Leaves),Athur(Uzhavar Sandhai ),9.16,-77.11
2025-03-07,Friday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),43.06,-28.23
2025-03-08,Saturday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.32,-29.46
2025-03-09,Sunday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.3,-29.5
2025-03-10,Monday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.3,-29.5
2025-03-11,Tuesday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.3,-29.5
2025-03-12,Wednesday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.31,-29.48
2025-03-13,Thursday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),42.31,-29.49
2025-03-07,Friday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),10.85,-56.62
2025-03-08,Saturday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.48,-62.09
2025-03-09,Sunday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.48,-62.08
2025-03-10,Monday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.55,-61.78
2025-03-11,Tuesday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.59,-61.63
2025-03-12,Wednesday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.61,-61.57
2025-03-13,Thursday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),9.59,-61.63
2025-03-07,Friday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),11.64,-70.91
2025-03-08,Saturday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.54,-76.14
2025-03-09,Sunday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.55,-76.13
2025-03-10,Monday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.54,-76.15
2025-03-11,Tuesday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.59,-76.04
2025-03-12,Wednesday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.6,-76.01
2025-03-13,Thursday,Coriander(Leaves),Elampillai(Uzhavar Sandhai ),9.59,-76.04
2025-03-07,Friday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),12.5,-75.01
2025-03-08,Saturday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.26,-81.49
2025-03-09,Sunday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.26,-81.48
2025-03-10,Monday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.32,-81.36
2025-03-11,Tuesday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.37,-81.26
2025-03-12,Wednesday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.38,-81.23
2025-03-13,Thursday,Coriander(Leaves),Hasthampatti(Uzhavar Sandhai ),9.39,-81.23
2025-03-07,Friday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),10.55,-56.06
2025-03-08,Saturday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.16,-61.82
2025-03-09,Sunday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.17,-61.81
2025-03-10,Monday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.23,-61.54
2025-03-11,Tuesday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.27,-61.38
2025-03-12,Wednesday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.28,-61.33
2025-03-13,Thursday,Coriander(Leaves),Jalagandapuram(Uzhavar Sandhai ),9.29,-61.3
2025-03-07,Friday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.93,-50.36
2025-03-08,Saturday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.29,-53.57
2025-03-09,Sunday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.29,-53.55
2025-03-10,Monday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.36,-53.22
2025-03-11,Tuesday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.4,-52.99
2025-03-12,Wednesday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.41,-52.93
2025-03-13,Thursday,Coriander(Leaves),Mettur(Uzhavar Sandhai ),9.42,-52.9
2025-03-07,Friday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),12.28,-74.42
2025-03-08,Saturday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.12,-81.0
2025-03-09,Sunday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.12,-81.0
2025-03-10,Monday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.19,-80.86
2025-03-11,Tuesday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.24,-80.76
2025-03-12,Wednesday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.25,-80.73
2025-03-13,Thursday,Coriander(Leaves),Sooramangalam(Uzhavar Sandhai ),9.25,-80.73
2025-03-07,Friday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.9,-56.39
2025-03-08,Saturday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.28,-58.9
2025-03-09,Sunday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.28,-58.89
2025-03-10,Monday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.27,-58.93
2025-03-11,Tuesday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.31,-58.78
2025-03-12,Wednesday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.32,-58.73
2025-03-13,Thursday,Coriander(Leaves),Thammampatti (Uzhavar Sandhai ),10.3,-58.79
2025-03-07,Friday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),12.32,-75.36
2025-03-08,Saturday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.09,-81.82
2025-03-09,Sunday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.09,-81.81
2025-03-10,Monday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.16,-81.68
2025-03-11,Tuesday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.21,-81.59
2025-03-12,Wednesday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.22,-81.56
2025-03-13,Thursday,Coriander(Leaves),Thathakapatti(Uzhavar Sandhai ),9.22,-81.56
