Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),16.03,-67.94
2025-03-08,Saturday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.52,-72.95
2025-03-09,Sunday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.54,-72.91
2025-03-10,Monday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.55,-72.91
2025-03-11,Tuesday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.54,-72.91
2025-03-12,Wednesday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.55,-72.9
2025-03-13,Thursday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),13.53,-72.94
2025-03-07,Friday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),12.71,-71.75
2025-03-08,Saturday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.38,-79.16
2025-03-09,Sunday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.38,-79.15
2025-03-10,Monday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.45,-79.0
2025-03-11,Tuesday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.49,-78.9
2025-03-12,Wednesday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.5,-78.89
2025-03-13,Thursday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),9.51,-78.87
2025-03-07,Friday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),12.57,-72.06
2025-03-08,Saturday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.05,-79.89
2025-03-09,Sunday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.05,-79.88
2025-03-10,Monday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.13,-79.72
2025-03-11,Tuesday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.17,-79.62
2025-03-12,Wednesday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.18,-79.61
2025-03-13,Thursday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),9.19,-79.59
2025-03-07,Friday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),13.8,-72.4
2025-03-08,Saturday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.55,-76.9
2025-03-09,Sunday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.55,-76.9
2025-03-10,Monday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.54,-76.93
2025-03-11,Tuesday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.52,-76.96
2025-03-12,Wednesday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.53,-76.94
2025-03-13,Thursday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),11.54,-76.93
2025-03-07,Friday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),12.73,-71.72
2025-03-08,Saturday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.32,-79.28
2025-03-09,Sunday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.33,-79.28
2025-03-10,Monday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.39,-79.14
2025-03-11,Tuesday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.44,-79.03
2025-03-12,Wednesday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.44,-79.02
2025-03-13,Thursday,Cowpea(Veg),Sooramangalam(Uzhavar Sandhai ),9.45,-79.0
2025-03-07,Friday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),17.78,-64.43
2025-03-08,Saturday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.94,-70.11
2025-03-09,Sunday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.98,-70.04
2025-03-10,Monday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.98,-70.03
2025-03-11,Tuesday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.98,-70.03
2025-03-12,Wednesday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.99,-70.02
2025-03-13,Thursday,Cowpea(Veg),Thammampatti (Uzhavar Sandhai ),14.97,-70.06
2025-03-07,Friday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),12.49,-68.78
2025-03-08,Saturday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.29,-76.77
2025-03-09,Sunday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.29,-76.76
2025-03-10,Monday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.36,-76.6
2025-03-11,Tuesday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.4,-76.49
2025-03-12,Wednesday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.41,-76.47
2025-03-13,Thursday,Cowpea(Veg),Thathakapatti(Uzhavar Sandhai ),9.42,-76.45
2025-03-07,Friday,Cowpea(Veg),Ammapet(Uzhavar Sandhai ),12.63,-71.93
2025-03-08,Saturday,Cowpea(Veg),Ammapet(Uzhavar Sandhai ),9.36,-79.21
2025-03-09,Sunday,Cowpea(Veg),Ammapet(Uzhavar Sandhai ),9.36,-79.2
2025-03-10,Monday,Cowpea(Veg),Ammapet(Uzhavar Sandhai ),9.43,-79.04
