Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),12.91,-74.19
2025-03-08,Saturday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.06,-79.88
2025-03-09,Sunday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.06,-79.88
2025-03-10,Monday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.12,-79.76
2025-03-11,Tuesday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.18,-79.64
2025-03-12,Wednesday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.19,-79.61
2025-03-13,Thursday,Cucumbar(Kheera),Ammapet(Uzhavar Sandhai ),10.19,-79.62
2025-03-07,Friday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.86,-8.14
2025-03-08,Saturday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.64,-8.36
2025-03-09,Sunday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.62,-8.38
2025-03-10,Monday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.61,-8.39
2025-03-11,Tuesday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.62,-8.38
2025-03-12,Wednesday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.63,-8.37
2025-03-13,Thursday,Cucumbar(Kheera),Hasthampatti(Uzhavar Sandhai ),91.63,-8.37
2025-03-07,Friday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.47,-3.53
2025-03-08,Saturday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.5,-3.5
2025-03-09,Sunday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.57,-3.43
2025-03-10,Monday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.55,-3.45
2025-03-11,Tuesday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.56,-3.44
2025-03-12,Wednesday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.57,-3.43
2025-03-13,Thursday,Cucumbar(Kheera),Sooramangalam(Uzhavar Sandhai ),96.57,-3.43
2025-03-07,Friday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),12.18,-69.55
2025-03-08,Saturday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.79,-75.54
2025-03-09,Sunday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.79,-75.53
2025-03-10,Monday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.84,-75.41
2025-03-11,Tuesday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.9,-75.26
2025-03-12,Wednesday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.91,-75.23
2025-03-13,Thursday,Cucumbar(Kheera),Thathakapatti(Uzhavar Sandhai ),9.91,-75.23
2025-03-07,Friday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.92,-43.47
2025-03-08,Saturday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.66,-43.9
2025-03-09,Sunday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.66,-43.9
2025-03-10,Monday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.66,-43.9
2025-03-11,Tuesday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.66,-43.9
2025-03-12,Wednesday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.67,-43.88
2025-03-13,Thursday,Cucumbar(Kheera),Mettur(Uzhavar Sandhai ),33.67,-43.88
2025-03-07,Friday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),12.44,-68.9
2025-03-08,Saturday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.58,-73.55
2025-03-09,Sunday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.58,-73.54
2025-03-10,Monday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.57,-73.58
2025-03-11,Tuesday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.63,-73.43
2025-03-12,Wednesday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.64,-73.4
2025-03-13,Thursday,Cucumbar(Kheera),Elampillai(Uzhavar Sandhai ),10.65,-73.39
2025-03-07,Friday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.58,-34.04
2025-03-08,Saturday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.29,-34.51
2025-03-09,Sunday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.22,-34.64
2025-03-10,Monday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.21,-34.65
2025-03-11,Tuesday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.2,-34.66
2025-03-12,Wednesday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.22,-34.64
2025-03-13,Thursday,Cucumbar(Kheera),Thammampatti (Uzhavar Sandhai ),39.21,-34.65
2025-03-07,Friday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),37.24,-37.94
2025-03-08,Saturday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.31,-39.48
2025-03-09,Sunday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.15,-39.76
2025-03-10,Monday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.13,-39.79
2025-03-11,Tuesday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.13,-39.79
2025-03-12,Wednesday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.14,-39.77
2025-03-13,Thursday,Cucumbar(Kheera),Athur(Uzhavar Sandhai ),36.14,-39.77
2025-03-07,Friday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),12.51,-68.73
2025-03-08,Saturday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.21,-71.97
2025-03-09,Sunday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.21,-71.97
2025-03-10,Monday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.2,-72.01
2025-03-11,Tuesday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.26,-71.86
2025-03-12,Wednesday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.27,-71.83
2025-03-13,Thursday,Cucumbar(Kheera),Attayampatti(Uzhavar Sandhai ),11.26,-71.84
