Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.8,-17.75
2025-03-08,Saturday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.1,-18.63
2025-03-09,Sunday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.1,-18.63
2025-03-10,Monday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.09,-18.64
2025-03-11,Tuesday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.09,-18.63
2025-03-12,Wednesday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.11,-18.62
2025-03-13,Thursday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),65.1,-18.63
2025-03-07,Friday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),12.58,-68.55
2025-03-08,Saturday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.76,-75.6
2025-03-09,Sunday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.76,-75.59
2025-03-10,Monday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.83,-75.43
2025-03-11,Tuesday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.89,-75.28
2025-03-12,Wednesday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.9,-75.24
2025-03-13,Thursday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),9.91,-75.22
2025-03-07,Friday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),12.96,-67.59
2025-03-08,Saturday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.05,-74.88
2025-03-09,Sunday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.05,-74.87
2025-03-10,Monday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.12,-74.7
2025-03-11,Tuesday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.18,-74.55
2025-03-12,Wednesday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.19,-74.53
2025-03-13,Thursday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),10.2,-74.51
2025-03-07,Friday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),12.8,-63.43
2025-03-08,Saturday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.23,-67.92
2025-03-09,Sunday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.23,-67.92
2025-03-10,Monday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.23,-67.92
2025-03-11,Tuesday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.29,-67.75
2025-03-12,Wednesday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.3,-67.72
2025-03-13,Thursday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),11.3,-67.7
2025-03-07,Friday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),12.86,-71.42
2025-03-08,Saturday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),9.88,-78.05
2025-03-09,Sunday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),9.88,-78.05
2025-03-10,Monday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),9.95,-77.89
2025-03-11,Tuesday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),10.01,-77.76
2025-03-12,Wednesday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),10.02,-77.73
2025-03-13,Thursday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),10.03,-77.71
2025-03-07,Friday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),12.5,-64.29
2025-03-08,Saturday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),9.85,-71.85
2025-03-09,Sunday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),9.85,-71.85
2025-03-10,Monday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),9.92,-71.67
2025-03-11,Tuesday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),9.98,-71.5
2025-03-12,Wednesday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),9.99,-71.46
2025-03-13,Thursday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),10.0,-71.43
2025-03-07,Friday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),13.03,-73.95
2025-03-08,Saturday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),9.78,-80.44
