Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),12.94,-74.13
2025-03-08,Saturday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.32,-81.36
2025-03-09,Sunday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.32,-81.37
2025-03-10,Monday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.33,-81.34
2025-03-11,Tuesday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.38,-81.24
2025-03-12,Wednesday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.39,-81.22
2025-03-13,Thursday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),9.38,-81.24
2025-03-07,Friday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),15.33,-69.34
2025-03-08,Saturday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.16,-73.69
2025-03-09,Sunday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.16,-73.68
2025-03-10,Monday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.1,-73.79
2025-03-11,Tuesday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.1,-73.79
2025-03-12,Wednesday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.11,-73.78
2025-03-13,Thursday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),13.11,-73.79
2025-03-07,Friday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),18.04,-63.92
2025-03-08,Saturday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.14,-69.72
2025-03-09,Sunday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.17,-69.66
2025-03-10,Monday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.11,-69.77
2025-03-11,Tuesday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.11,-69.77
2025-03-12,Wednesday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.12,-69.76
2025-03-13,Thursday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),15.1,-69.8
2025-03-07,Friday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),13.06,-73.87
2025-03-08,Saturday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.37,-81.25
2025-03-09,Sunday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.37,-81.26
2025-03-10,Monday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.38,-81.25
2025-03-11,Tuesday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.43,-81.15
2025-03-12,Wednesday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.43,-81.13
2025-03-13,Thursday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),9.44,-81.12
2025-03-07,Friday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),18.28,-63.43
2025-03-08,Saturday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.73,-70.54
2025-03-09,Sunday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.73,-70.53
2025-03-10,Monday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.68,-70.64
2025-03-11,Tuesday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.68,-70.64
2025-03-12,Wednesday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.69,-70.63
2025-03-13,Thursday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),14.68,-70.63
2025-03-07,Friday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),13.92,-72.16
2025-03-08,Saturday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.75,-76.5
2025-03-09,Sunday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.75,-76.51
2025-03-10,Monday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.67,-76.66
2025-03-11,Tuesday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.66,-76.68
2025-03-12,Wednesday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.67,-76.66
2025-03-13,Thursday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),11.68,-76.64
2025-03-07,Friday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),13.08,-73.85
2025-03-08,Saturday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.32,-81.36
2025-03-09,Sunday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.32,-81.37
2025-03-10,Monday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.32,-81.35
2025-03-11,Tuesday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.37,-81.26
2025-03-12,Wednesday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.38,-81.24
2025-03-13,Thursday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),9.39,-81.22
2025-03-07,Friday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),12.31,-69.22
2025-03-08,Saturday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.3,-74.25
2025-03-09,Sunday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.29,-74.27
2025-03-10,Monday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.22,-74.44
2025-03-11,Tuesday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.27,-74.32
2025-03-12,Wednesday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.28,-74.3
2025-03-13,Thursday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),10.27,-74.32
2025-03-07,Friday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),12.99,-74.02
2025-03-08,Saturday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.26,-81.47
2025-03-09,Sunday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.26,-81.48
2025-03-10,Monday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.26,-81.47
2025-03-11,Tuesday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.31,-81.37
2025-03-12,Wednesday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.32,-81.36
2025-03-13,Thursday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),9.33,-81.34
2025-03-07,Friday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),16.19,-67.62
2025-03-08,Saturday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.71,-72.57
2025-03-09,Sunday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.72,-72.56
2025-03-10,Monday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.66,-72.67
2025-03-11,Tuesday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.66,-72.67
2025-03-12,Wednesday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.67,-72.65
2025-03-13,Thursday,Elephant Yam (Suran),Elampillai(Uzhavar Sandhai ),13.66,-72.69
2025-03-07,Friday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),18.32,-63.36
2025-03-08,Saturday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.8,-70.39
2025-03-09,Sunday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.78,-70.43
2025-03-10,Monday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.73,-70.54
2025-03-11,Tuesday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.73,-70.54
2025-03-12,Wednesday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.74,-70.52
2025-03-13,Thursday,Elephant Yam (Suran),Attayampatti(Uzhavar Sandhai ),14.72,-70.56
