Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),82.98,3.72
2025-03-08,Saturday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.15,3.94
2025-03-09,Sunday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.15,3.94
2025-03-10,Monday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.14,3.93
2025-03-11,Tuesday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.14,3.93
2025-03-12,Wednesday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.16,3.95
2025-03-13,Thursday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),83.15,3.94
2025-03-07,Friday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.93,1.93
2025-03-08,Saturday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.93,1.93
2025-03-09,Sunday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.93,1.93
2025-03-10,Monday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.91,1.91
2025-03-11,Tuesday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.91,1.91
2025-03-12,Wednesday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.91,1.91
2025-03-13,Thursday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),101.91,1.91
