Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Garlic,Elampillai(Uzhavar Sandhai ),100.25,0.25
2025-03-08,Saturday,Garlic,Elampillai(Uzhavar Sandhai ),100.25,0.25
2025-03-09,Sunday,Garlic,Elampillai(Uzhavar Sandhai ),100.25,0.25
2025-03-10,Monday,Garlic,Elampillai(Uzhavar Sandhai ),100.23,0.23
2025-03-11,Tuesday,Garlic,Elampillai(Uzhavar Sandhai ),100.23,0.23
2025-03-12,Wednesday,Garlic,Elampillai(Uzhavar Sandhai ),100.23,0.23
2025-03-13,Thursday,Garlic,Elampillai(Uzhavar Sandhai ),100.24,0.24
2025-03-07,Friday,Garlic,Attayampatti(Uzhavar Sandhai ),100.16,0.16
2025-03-08,Saturday,Garlic,Attayampatti(Uzhavar Sandhai ),100.16,0.16
2025-03-09,Sunday,Garlic,Attayampatti(Uzhavar Sandhai ),100.16,0.16
2025-03-10,Monday,Garlic,Attayampatti(Uzhavar Sandhai ),100.15,0.15
2025-03-11,Tuesday,Garlic,Attayampatti(Uzhavar Sandhai ),100.15,0.15
2025-03-12,Wednesday,Garlic,Attayampatti(Uzhavar Sandhai ),100.15,0.15
2025-03-13,Thursday,Garlic,Attayampatti(Uzhavar Sandhai ),100.15,0.15
