Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Grapes,Ammapet(Uzhavar Sandhai ),65.42,-18.22
2025-03-08,Saturday,Grapes,Ammapet(Uzhavar Sandhai ),64.44,-19.45
2025-03-09,Sunday,Grapes,Ammapet(Uzhavar Sandhai ),64.42,-19.47
2025-03-10,Monday,Grapes,Ammapet(Uzhavar Sandhai ),64.42,-19.48
2025-03-11,Tuesday,Grapes,Ammapet(Uzhavar Sandhai ),64.42,-19.48
2025-03-12,Wednesday,Grapes,Ammapet(Uzhavar Sandhai ),64.43,-19.47
2025-03-13,Thursday,Grapes,Ammapet(Uzhavar Sandhai ),64.43,-19.47
2025-03-07,Friday,Grapes,Hasthampatti(Uzhavar Sandhai ),91.33,-8.67
2025-03-08,Saturday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-09,Sunday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-10,Monday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.96,-9.04
2025-03-11,Tuesday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.97,-9.03
2025-03-12,Wednesday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.99,-9.01
2025-03-13,Thursday,Grapes,Hasthampatti(Uzhavar Sandhai ),90.99,-9.01
2025-03-07,Friday,Grapes,Sooramangalam(Uzhavar Sandhai ),58.08,-27.4
2025-03-08,Saturday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.32,-28.35
2025-03-09,Sunday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.34,-28.33
2025-03-10,Monday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.33,-28.34
2025-03-11,Tuesday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.33,-28.34
2025-03-12,Wednesday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.34,-28.33
2025-03-13,Thursday,Grapes,Sooramangalam(Uzhavar Sandhai ),57.34,-28.33
2025-03-07,Friday,Grapes,Mettur(Uzhavar Sandhai ),103.03,3.03
2025-03-08,Saturday,Grapes,Mettur(Uzhavar Sandhai ),103.07,3.07
2025-03-09,Sunday,Grapes,Mettur(Uzhavar Sandhai ),103.07,3.07
2025-03-10,Monday,Grapes,Mettur(Uzhavar Sandhai ),103.06,3.06
2025-03-11,Tuesday,Grapes,Mettur(Uzhavar Sandhai ),103.06,3.06
2025-03-12,Wednesday,Grapes,Mettur(Uzhavar Sandhai ),103.07,3.07
2025-03-13,Thursday,Grapes,Mettur(Uzhavar Sandhai ),103.07,3.07
