Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Green Avare (W),Ammapet(Uzhavar Sandhai ),12.29,-59.02
2025-03-08,Saturday,Green Avare (W),Ammapet(Uzhavar Sandhai ),9.87,-67.11
2025-03-09,Sunday,Green Avare (W),Ammapet(Uzhavar Sandhai ),9.87,-67.1
2025-03-10,Monday,Green Avare (W),Ammapet(Uzhavar Sandhai ),9.94,-66.85
2025-03-11,Tuesday,Green Avare (W),Ammapet(Uzhavar Sandhai ),9.99,-66.69
2025-03-12,Wednesday,Green Avare (W),Ammapet(Uzhavar Sandhai ),10.0,-66.66
2025-03-13,Thursday,Green Avare (W),Ammapet(Uzhavar Sandhai ),9.99,-66.7
2025-03-07,Friday,Green Avare (W),Athur(Uzhavar Sandhai ),12.16,-59.48
2025-03-08,Saturday,Green Avare (W),Athur(Uzhavar Sandhai ),9.52,-68.27
2025-03-09,Sunday,Green Avare (W),Athur(Uzhavar Sandhai ),9.52,-68.26
2025-03-10,Monday,Green Avare (W),Athur(Uzhavar Sandhai ),9.59,-68.05
2025-03-11,Tuesday,Green Avare (W),Athur(Uzhavar Sandhai ),9.63,-67.89
2025-03-12,Wednesday,Green Avare (W),Athur(Uzhavar Sandhai ),9.64,-67.86
2025-03-13,Thursday,Green Avare (W),Athur(Uzhavar Sandhai ),9.65,-67.84
2025-03-07,Friday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),12.18,-59.39
2025-03-08,Saturday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.67,-64.45
2025-03-09,Sunday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.67,-64.44
2025-03-10,Monday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.67,-64.43
2025-03-11,Tuesday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.72,-64.27
2025-03-12,Wednesday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.73,-64.25
2025-03-13,Thursday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),10.71,-64.31
2025-03-07,Friday,Green Avare (W),Edapadi (Uzhavar Sandhai ),12.24,-59.21
2025-03-08,Saturday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.09,-66.38
2025-03-09,Sunday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.09,-66.37
2025-03-10,Monday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.17,-66.11
2025-03-11,Tuesday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.22,-65.94
2025-03-12,Wednesday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.23,-65.91
2025-03-13,Thursday,Green Avare (W),Edapadi (Uzhavar Sandhai ),10.21,-65.96
2025-03-07,Friday,Green Avare (W),Elampillai(Uzhavar Sandhai ),12.12,-59.6
2025-03-08,Saturday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.13,-66.22
2025-03-09,Sunday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.13,-66.23
2025-03-10,Monday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.13,-66.24
2025-03-11,Tuesday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.18,-66.08
2025-03-12,Wednesday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.18,-66.06
2025-03-13,Thursday,Green Avare (W),Elampillai(Uzhavar Sandhai ),10.17,-66.1
2025-03-07,Friday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),12.34,-58.85
2025-03-08,Saturday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.85,-67.16
2025-03-09,Sunday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.86,-67.15
2025-03-10,Monday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.92,-66.93
2025-03-11,Tuesday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.97,-66.76
2025-03-12,Wednesday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.98,-66.74
2025-03-13,Thursday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),9.98,-66.73
2025-03-07,Friday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),12.2,-59.32
2025-03-08,Saturday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.5,-68.35
2025-03-09,Sunday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.5,-68.34
2025-03-10,Monday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.57,-68.1
2025-03-11,Tuesday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.62,-67.94
2025-03-12,Wednesday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.62,-67.92
2025-03-13,Thursday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),9.63,-67.9
2025-03-07,Friday,Green Avare (W),Mettur(Uzhavar Sandhai ),12.3,-59.0
2025-03-08,Saturday,Green Avare (W),Mettur(Uzhavar Sandhai ),9.73,-67.55
2025-03-09,Sunday,Green Avare (W),Mettur(Uzhavar Sandhai ),9.74,-67.54
2025-03-10,Monday,Green Avare (W),Mettur(Uzhavar Sandhai ),9.8,-67.32
2025-03-11,Tuesday,Green Avare (W),Mettur(Uzhavar Sandhai ),9.85,-67.16
