Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Green Peas,Ammapet(Uzhavar Sandhai ),46.16,-34.05
2025-03-08,Saturday,Green Peas,Ammapet(Uzhavar Sandhai ),45.25,-35.36
2025-03-09,Sunday,Green Peas,Ammapet(Uzhavar Sandhai ),45.26,-35.35
2025-03-10,Monday,Green Peas,Ammapet(Uzhavar Sandhai ),45.25,-35.35
2025-03-11,Tuesday,Green Peas,Ammapet(Uzhavar Sandhai ),45.25,-35.35
2025-03-12,Wednesday,Green Peas,Ammapet(Uzhavar Sandhai ),45.26,-35.35
2025-03-13,Thursday,Green Peas,Ammapet(Uzhavar Sandhai ),45.26,-35.35
2025-03-07,Friday,Green Peas,Athur(Uzhavar Sandhai ),53.89,-20.75
2025-03-08,Saturday,Green Peas,Athur(Uzhavar Sandhai ),53.42,-21.45
2025-03-09,Sunday,Green Peas,Athur(Uzhavar Sandhai ),53.47,-21.36
2025-03-10,Monday,Green Peas,Athur(Uzhavar Sandhai ),53.47,-21.37
2025-03-11,Tuesday,Green Peas,Athur(Uzhavar Sandhai ),53.47,-21.37
2025-03-12,Wednesday,Green Peas,Athur(Uzhavar Sandhai ),53.47,-21.36
2025-03-13,Thursday,Green Peas,Athur(Uzhavar Sandhai ),53.47,-21.37
2025-03-07,Friday,Green Peas,Hasthampatti(Uzhavar Sandhai ),33.08,-51.35
2025-03-08,Saturday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.04,-52.89
2025-03-09,Sunday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.01,-52.93
2025-03-10,Monday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.01,-52.93
2025-03-11,Tuesday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.0,-52.94
2025-03-12,Wednesday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.01,-52.93
2025-03-13,Thursday,Green Peas,Hasthampatti(Uzhavar Sandhai ),32.01,-52.93
2025-03-07,Friday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),53.21,-18.13
2025-03-08,Saturday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.84,-18.7
2025-03-09,Sunday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.74,-18.87
2025-03-10,Monday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.73,-18.87
2025-03-11,Tuesday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.73,-18.87
2025-03-12,Wednesday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.74,-18.86
2025-03-13,Thursday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),52.74,-18.87
2025-03-07,Friday,Green Peas,Sooramangalam(Uzhavar Sandhai ),34.81,-48.81
2025-03-08,Saturday,Green Peas,Sooramangalam(Uzhavar Sandhai ),33.09,-51.33
2025-03-09,Sunday,Green Peas,Sooramangalam(Uzhavar Sandhai ),32.86,-51.68
2025-03-10,Monday,Green Peas,Sooramangalam(Uzhavar Sandhai ),32.86,-51.68
2025-03-11,Tuesday,Green Peas,Sooramangalam(Uzhavar Sandhai ),32.86,-51.68
