Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Groundnut,Ammapet(Uzhavar Sandhai ),25.48,-57.53
2025-03-08,Saturday,Groundnut,Ammapet(Uzhavar Sandhai ),23.54,-60.77
2025-03-09,Sunday,Groundnut,Ammapet(Uzhavar Sandhai ),23.24,-61.27
2025-03-10,Monday,Groundnut,Ammapet(Uzhavar Sandhai ),23.17,-61.38
2025-03-11,Tuesday,Groundnut,Ammapet(Uzhavar Sandhai ),23.17,-61.38
2025-03-12,Wednesday,Groundnut,Ammapet(Uzhavar Sandhai ),23.17,-61.38
2025-03-13,Thursday,Groundnut,Ammapet(Uzhavar Sandhai ),23.15,-61.42
2025-03-07,Friday,Groundnut,Athur(Uzhavar Sandhai ),36.22,-39.63
2025-03-08,Saturday,Groundnut,Athur(Uzhavar Sandhai ),33.47,-44.21
2025-03-09,Sunday,Groundnut,Athur(Uzhavar Sandhai ),32.78,-45.37
2025-03-10,Monday,Groundnut,Athur(Uzhavar Sandhai ),32.69,-45.51
2025-03-11,Tuesday,Groundnut,Athur(Uzhavar Sandhai ),32.69,-45.51
2025-03-12,Wednesday,Groundnut,Athur(Uzhavar Sandhai ),32.7,-45.5
2025-03-13,Thursday,Groundnut,Athur(Uzhavar Sandhai ),32.69,-45.51
2025-03-07,Friday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),27.75,-49.54
2025-03-08,Saturday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),24.96,-54.61
2025-03-09,Sunday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),24.57,-55.32
2025-03-10,Monday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),24.12,-56.15
2025-03-11,Tuesday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),23.94,-56.47
2025-03-12,Wednesday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),23.89,-56.57
2025-03-13,Thursday,Groundnut,Jalagandapuram(Uzhavar Sandhai ),23.87,-56.61
2025-03-07,Friday,Groundnut,Thathakapatti(Uzhavar Sandhai ),21.75,-63.75
2025-03-08,Saturday,Groundnut,Thathakapatti(Uzhavar Sandhai ),19.38,-67.7
2025-03-09,Sunday,Groundnut,Thathakapatti(Uzhavar Sandhai ),18.58,-69.04
2025-03-10,Monday,Groundnut,Thathakapatti(Uzhavar Sandhai ),17.68,-70.54
2025-03-11,Tuesday,Groundnut,Thathakapatti(Uzhavar Sandhai ),17.42,-70.96
2025-03-12,Wednesday,Groundnut,Thathakapatti(Uzhavar Sandhai ),17.44,-70.94
2025-03-13,Thursday,Groundnut,Thathakapatti(Uzhavar Sandhai ),17.42,-70.96
2025-03-07,Friday,Groundnut,Mettur(Uzhavar Sandhai ),23.21,-57.8
2025-03-08,Saturday,Groundnut,Mettur(Uzhavar Sandhai ),21.23,-61.4
2025-03-09,Sunday,Groundnut,Mettur(Uzhavar Sandhai ),21.01,-61.81
2025-03-10,Monday,Groundnut,Mettur(Uzhavar Sandhai ),20.95,-61.91
2025-03-11,Tuesday,Groundnut,Mettur(Uzhavar Sandhai ),20.79,-62.21
2025-03-12,Wednesday,Groundnut,Mettur(Uzhavar Sandhai ),20.78,-62.22
2025-03-13,Thursday,Groundnut,Mettur(Uzhavar Sandhai ),20.76,-62.25
2025-03-07,Friday,Groundnut,Elampillai(Uzhavar Sandhai ),36.39,-39.34
2025-03-08,Saturday,Groundnut,Elampillai(Uzhavar Sandhai ),33.67,-43.88
2025-03-09,Sunday,Groundnut,Elampillai(Uzhavar Sandhai ),33.07,-44.88
2025-03-10,Monday,Groundnut,Elampillai(Uzhavar Sandhai ),32.85,-45.25
2025-03-11,Tuesday,Groundnut,Elampillai(Uzhavar Sandhai ),32.85,-45.25
2025-03-12,Wednesday,Groundnut,Elampillai(Uzhavar Sandhai ),32.85,-45.25
2025-03-13,Thursday,Groundnut,Elampillai(Uzhavar Sandhai ),32.84,-45.26
2025-03-07,Friday,Groundnut,Kolathur,18.49,-72.2
2025-03-08,Saturday,Groundnut,Kolathur,15.08,-77.33
2025-03-09,Sunday,Groundnut,Kolathur,14.88,-77.62
2025-03-10,Monday,Groundnut,Kolathur,14.83,-77.69
2025-03-11,Tuesday,Groundnut,Kolathur,14.83,-77.69
2025-03-12,Wednesday,Groundnut,Kolathur,14.84,-77.69
2025-03-13,Thursday,Groundnut,Kolathur,14.81,-77.72
2025-03-07,Friday,Groundnut,Hasthampatti(Uzhavar Sandhai ),18.53,-69.11
2025-03-08,Saturday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.39,-74.35
2025-03-09,Sunday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.16,-74.74
2025-03-10,Monday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.11,-74.82
2025-03-11,Tuesday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.11,-74.82
2025-03-12,Wednesday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.11,-74.81
2025-03-13,Thursday,Groundnut,Hasthampatti(Uzhavar Sandhai ),15.1,-74.83
