Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),16.51,-69.98
2025-03-08,Saturday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.29,-74.03
2025-03-09,Sunday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.3,-74.0
2025-03-10,Monday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.31,-73.99
2025-03-11,Tuesday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.3,-73.99
2025-03-12,Wednesday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.32,-73.97
2025-03-13,Thursday,Indian Beans (Seam),Ammapet(Uzhavar Sandhai ),14.31,-73.98
2025-03-07,Friday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),18.95,-68.42
2025-03-08,Saturday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.85,-71.92
2025-03-09,Sunday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.48,-72.53
2025-03-10,Monday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.48,-72.53
2025-03-11,Tuesday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.48,-72.53
2025-03-12,Wednesday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.49,-72.51
2025-03-13,Thursday,Indian Beans (Seam),Hasthampatti(Uzhavar Sandhai ),16.49,-72.52
2025-03-07,Friday,Indian Beans (Seam),Jalagandapuram(Uzhavar Sandhai ),18.37,-63.26
2025-03-08,Saturday,Indian Beans (Seam),Jalagandapuram(Uzhavar Sandhai ),15.41,-69.18
2025-03-09,Sunday,Indian Beans (Seam),Jalagandapuram(Uzhavar Sandhai ),15.44,-69.11
2025-03-10,Monday,Indian Beans (Seam),Jalagandapuram(Uzhavar Sandhai ),15.44,-69.11
2025-03-11,Tuesday,Indian Beans (Seam),Jalagandapuram(Uzhavar Sandhai ),15.44,-69.11
