Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.85,-45.76
2025-03-08,Saturday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.18,-49.1
2025-03-09,Sunday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.18,-49.11
2025-03-10,Monday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.21,-48.96
2025-03-11,Tuesday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.26,-48.72
2025-03-12,Wednesday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.26,-48.68
2025-03-13,Thursday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),10.27,-48.64
2025-03-07,Friday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.19,-43.39
2025-03-08,Saturday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.41,-42.18
2025-03-09,Sunday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.41,-42.19
2025-03-10,Monday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.47,-41.86
2025-03-11,Tuesday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.51,-41.59
2025-03-12,Wednesday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.52,-41.54
2025-03-13,Thursday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),10.53,-41.48
2025-03-07,Friday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),12.74,-63.6
2025-03-08,Saturday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.57,-69.79
2025-03-09,Sunday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.57,-69.8
2025-03-10,Monday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.61,-69.68
2025-03-11,Tuesday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.66,-69.55
2025-03-12,Wednesday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.67,-69.52
2025-03-13,Thursday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),10.68,-69.49
2025-03-07,Friday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),13.1,-70.89
2025-03-08,Saturday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.35,-77.0
2025-03-09,Sunday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.35,-77.0
2025-03-10,Monday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.41,-76.87
2025-03-11,Tuesday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.46,-76.76
2025-03-12,Wednesday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.47,-76.74
2025-03-13,Thursday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),10.48,-76.72
2025-03-07,Friday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),12.94,-67.66
2025-03-08,Saturday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.39,-74.01
2025-03-09,Sunday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.39,-74.02
2025-03-10,Monday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.43,-73.93
2025-03-11,Tuesday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.48,-73.81
2025-03-12,Wednesday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.48,-73.79
2025-03-13,Thursday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),10.49,-73.77
2025-03-07,Friday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),12.47,-58.43
2025-03-08,Saturday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.75,-64.16
2025-03-09,Sunday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.75,-64.17
2025-03-10,Monday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.79,-64.02
2025-03-11,Tuesday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.84,-63.86
2025-03-12,Wednesday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.85,-63.82
2025-03-13,Thursday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),10.86,-63.8
