Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Knool Khol,Ammapet(Uzhavar Sandhai ),12.71,-63.69
2025-03-08,Saturday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.47,-70.08
2025-03-09,Sunday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.47,-70.09
2025-03-10,Monday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.53,-69.92
2025-03-11,Tuesday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.58,-69.76
2025-03-12,Wednesday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.59,-69.74
2025-03-13,Thursday,Knool Khol,Ammapet(Uzhavar Sandhai ),10.6,-69.72
2025-03-07,Friday,Knool Khol,Athur(Uzhavar Sandhai ),12.61,-64.97
2025-03-08,Saturday,Knool Khol,Athur(Uzhavar Sandhai ),10.14,-71.82
2025-03-09,Sunday,Knool Khol,Athur(Uzhavar Sandhai ),10.14,-71.84
2025-03-10,Monday,Knool Khol,Athur(Uzhavar Sandhai ),10.18,-71.71
2025-03-11,Tuesday,Knool Khol,Athur(Uzhavar Sandhai ),10.24,-71.56
2025-03-12,Wednesday,Knool Khol,Athur(Uzhavar Sandhai ),10.25,-71.53
2025-03-13,Thursday,Knool Khol,Athur(Uzhavar Sandhai ),10.26,-71.51
2025-03-07,Friday,Knool Khol,Attayampatti(Uzhavar Sandhai ),12.82,-66.26
2025-03-08,Saturday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.31,-70.24
2025-03-09,Sunday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.32,-70.22
2025-03-10,Monday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.31,-70.25
2025-03-11,Tuesday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.36,-70.1
2025-03-12,Wednesday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.37,-70.08
2025-03-13,Thursday,Knool Khol,Attayampatti(Uzhavar Sandhai ),11.37,-70.07
2025-03-07,Friday,Knool Khol,Elampillai(Uzhavar Sandhai ),12.78,-68.06
2025-03-08,Saturday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.75,-73.13
2025-03-09,Sunday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.74,-73.14
2025-03-10,Monday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.73,-73.17
2025-03-11,Tuesday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.79,-73.03
2025-03-12,Wednesday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.8,-73.01
2025-03-13,Thursday,Knool Khol,Elampillai(Uzhavar Sandhai ),10.8,-73.0
2025-03-07,Friday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),12.83,-64.37
2025-03-08,Saturday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.44,-70.99
2025-03-09,Sunday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.45,-70.97
2025-03-10,Monday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.5,-70.82
2025-03-11,Tuesday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.56,-70.67
2025-03-12,Wednesday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.57,-70.64
2025-03-13,Thursday,Knool Khol,Hasthampatti(Uzhavar Sandhai ),10.57,-70.63
2025-03-07,Friday,Knool Khol,Mettur(Uzhavar Sandhai ),12.98,-67.54
2025-03-08,Saturday,Knool Khol,Mettur(Uzhavar Sandhai ),10.35,-74.12
2025-03-09,Sunday,Knool Khol,Mettur(Uzhavar Sandhai ),10.36,-74.11
2025-03-10,Monday,Knool Khol,Mettur(Uzhavar Sandhai ),10.42,-73.96
2025-03-11,Tuesday,Knool Khol,Mettur(Uzhavar Sandhai ),10.47,-73.82
