Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Lemon,Ammapet(Uzhavar Sandhai ),26.29,-56.18
2025-03-08,Saturday,Lemon,Ammapet(Uzhavar Sandhai ),25.35,-57.76
2025-03-09,Sunday,Lemon,Ammapet(Uzhavar Sandhai ),25.19,-58.01
2025-03-10,Monday,Lemon,Ammapet(Uzhavar Sandhai ),25.19,-58.01
2025-03-11,Tuesday,Lemon,Ammapet(Uzhavar Sandhai ),25.19,-58.01
2025-03-12,Wednesday,Lemon,Ammapet(Uzhavar Sandhai ),25.2,-57.99
2025-03-13,Thursday,Lemon,Ammapet(Uzhavar Sandhai ),25.2,-58.0
2025-03-07,Friday,Lemon,Athur(Uzhavar Sandhai ),15.28,-69.45
2025-03-08,Saturday,Lemon,Athur(Uzhavar Sandhai ),14.3,-71.39
2025-03-09,Sunday,Lemon,Athur(Uzhavar Sandhai ),14.3,-71.4
2025-03-10,Monday,Lemon,Athur(Uzhavar Sandhai ),14.3,-71.4
2025-03-11,Tuesday,Lemon,Athur(Uzhavar Sandhai ),14.3,-71.4
2025-03-12,Wednesday,Lemon,Athur(Uzhavar Sandhai ),14.31,-71.37
2025-03-13,Thursday,Lemon,Athur(Uzhavar Sandhai ),14.31,-71.38
2025-03-07,Friday,Lemon,Attayampatti(Uzhavar Sandhai ),101.73,1.73
2025-03-08,Saturday,Lemon,Attayampatti(Uzhavar Sandhai ),101.63,1.63
2025-03-09,Sunday,Lemon,Attayampatti(Uzhavar Sandhai ),101.64,1.64
2025-03-10,Monday,Lemon,Attayampatti(Uzhavar Sandhai ),101.62,1.62
2025-03-11,Tuesday,Lemon,Attayampatti(Uzhavar Sandhai ),101.62,1.62
2025-03-12,Wednesday,Lemon,Attayampatti(Uzhavar Sandhai ),101.63,1.63
2025-03-13,Thursday,Lemon,Attayampatti(Uzhavar Sandhai ),101.63,1.63
2025-03-07,Friday,Lemon,Edapadi (Uzhavar Sandhai ),39.49,-34.19
2025-03-08,Saturday,Lemon,Edapadi (Uzhavar Sandhai ),39.27,-34.55
2025-03-09,Sunday,Lemon,Edapadi (Uzhavar Sandhai ),39.25,-34.58
2025-03-10,Monday,Lemon,Edapadi (Uzhavar Sandhai ),39.24,-34.59
2025-03-11,Tuesday,Lemon,Edapadi (Uzhavar Sandhai ),39.23,-34.62
2025-03-12,Wednesday,Lemon,Edapadi (Uzhavar Sandhai ),39.24,-34.6
2025-03-13,Thursday,Lemon,Edapadi (Uzhavar Sandhai ),39.23,-34.61
2025-03-07,Friday,Lemon,Elampillai(Uzhavar Sandhai ),12.07,-69.83
2025-03-08,Saturday,Lemon,Elampillai(Uzhavar Sandhai ),10.41,-73.98
2025-03-09,Sunday,Lemon,Elampillai(Uzhavar Sandhai ),10.4,-74.0
2025-03-10,Monday,Lemon,Elampillai(Uzhavar Sandhai ),10.39,-74.04
2025-03-11,Tuesday,Lemon,Elampillai(Uzhavar Sandhai ),10.43,-73.92
2025-03-12,Wednesday,Lemon,Elampillai(Uzhavar Sandhai ),10.44,-73.89
2025-03-13,Thursday,Lemon,Elampillai(Uzhavar Sandhai ),10.44,-73.9
2025-03-07,Friday,Lemon,Hasthampatti(Uzhavar Sandhai ),75.23,-16.41
2025-03-08,Saturday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.72,-16.98
2025-03-09,Sunday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.73,-16.97
2025-03-10,Monday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.71,-16.98
2025-03-11,Tuesday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.71,-16.99
2025-03-12,Wednesday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.73,-16.97
2025-03-13,Thursday,Lemon,Hasthampatti(Uzhavar Sandhai ),74.72,-16.97
2025-03-07,Friday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.59,-27.34
2025-03-08,Saturday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.41,-27.66
2025-03-09,Sunday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.41,-27.66
2025-03-10,Monday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.4,-27.66
2025-03-11,Tuesday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.4,-27.66
2025-03-12,Wednesday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.42,-27.64
2025-03-13,Thursday,Lemon,Jalagandapuram(Uzhavar Sandhai ),43.41,-27.64
2025-03-07,Friday,Lemon,Mettur(Uzhavar Sandhai ),12.24,-69.4
2025-03-08,Saturday,Lemon,Mettur(Uzhavar Sandhai ),9.9,-75.24
2025-03-09,Sunday,Lemon,Mettur(Uzhavar Sandhai ),9.9,-75.24
2025-03-10,Monday,Lemon,Mettur(Uzhavar Sandhai ),9.96,-75.11
2025-03-11,Tuesday,Lemon,Mettur(Uzhavar Sandhai ),10.01,-74.99
2025-03-12,Wednesday,Lemon,Mettur(Uzhavar Sandhai ),10.02,-74.96
2025-03-13,Thursday,Lemon,Mettur(Uzhavar Sandhai ),10.01,-74.97
2025-03-07,Friday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.98,-42.88
2025-03-08,Saturday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.74,-43.22
2025-03-09,Sunday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.73,-43.24
2025-03-10,Monday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.73,-43.25
2025-03-11,Tuesday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.73,-43.25
2025-03-12,Wednesday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.74,-43.23
2025-03-13,Thursday,Lemon,Sooramangalam(Uzhavar Sandhai ),39.73,-43.24
2025-03-07,Friday,Lemon,Thammampatti (Uzhavar Sandhai ),39.4,-34.33
2025-03-08,Saturday,Lemon,Thammampatti (Uzhavar Sandhai ),39.29,-34.51
2025-03-09,Sunday,Lemon,Thammampatti (Uzhavar Sandhai ),39.29,-34.52
2025-03-10,Monday,Lemon,Thammampatti (Uzhavar Sandhai ),39.28,-34.53
2025-03-11,Tuesday,Lemon,Thammampatti (Uzhavar Sandhai ),39.29,-34.52
2025-03-12,Wednesday,Lemon,Thammampatti (Uzhavar Sandhai ),39.3,-34.5
2025-03-13,Thursday,Lemon,Thammampatti (Uzhavar Sandhai ),39.29,-34.51
2025-03-07,Friday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.28,-0.72
2025-03-08,Saturday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.32,-0.68
2025-03-09,Sunday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.32,-0.68
2025-03-10,Monday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.3,-0.7
2025-03-11,Tuesday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.3,-0.7
2025-03-12,Wednesday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.31,-0.69
2025-03-13,Thursday,Lemon,Thathakapatti(Uzhavar Sandhai ),99.31,-0.69
