Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Maize,Ammapet(Uzhavar Sandhai ),11.01,-44.94
2025-03-08,Saturday,Maize,Ammapet(Uzhavar Sandhai ),10.14,-49.28
2025-03-09,Sunday,Maize,Ammapet(Uzhavar Sandhai ),10.15,-49.27
2025-03-10,Monday,Maize,Ammapet(Uzhavar Sandhai ),10.22,-48.91
2025-03-11,Tuesday,Maize,Ammapet(Uzhavar Sandhai ),10.28,-48.62
2025-03-12,Wednesday,Maize,Ammapet(Uzhavar Sandhai ),10.29,-48.57
2025-03-13,Thursday,Maize,Ammapet(Uzhavar Sandhai ),10.29,-48.55
2025-03-07,Friday,Maize,Hasthampatti(Uzhavar Sandhai ),12.34,-50.64
2025-03-08,Saturday,Maize,Hasthampatti(Uzhavar Sandhai ),10.05,-59.8
2025-03-09,Sunday,Maize,Hasthampatti(Uzhavar Sandhai ),10.05,-59.79
2025-03-10,Monday,Maize,Hasthampatti(Uzhavar Sandhai ),10.12,-59.54
2025-03-11,Tuesday,Maize,Hasthampatti(Uzhavar Sandhai ),10.18,-59.3
2025-03-12,Wednesday,Maize,Hasthampatti(Uzhavar Sandhai ),10.19,-59.26
2025-03-13,Thursday,Maize,Hasthampatti(Uzhavar Sandhai ),10.19,-59.24
2025-03-07,Friday,Maize,Mettur(Uzhavar Sandhai ),12.3,-50.79
2025-03-08,Saturday,Maize,Mettur(Uzhavar Sandhai ),9.92,-60.33
2025-03-09,Sunday,Maize,Mettur(Uzhavar Sandhai ),9.92,-60.31
2025-03-10,Monday,Maize,Mettur(Uzhavar Sandhai ),9.99,-60.06
2025-03-11,Tuesday,Maize,Mettur(Uzhavar Sandhai ),10.04,-59.82
2025-03-12,Wednesday,Maize,Mettur(Uzhavar Sandhai ),10.05,-59.78
2025-03-13,Thursday,Maize,Mettur(Uzhavar Sandhai ),10.06,-59.76
2025-03-07,Friday,Maize,Sooramangalam(Uzhavar Sandhai ),11.03,-44.83
2025-03-08,Saturday,Maize,Sooramangalam(Uzhavar Sandhai ),10.0,-50.0
2025-03-09,Sunday,Maize,Sooramangalam(Uzhavar Sandhai ),10.0,-49.98
2025-03-10,Monday,Maize,Sooramangalam(Uzhavar Sandhai ),10.07,-49.66
2025-03-11,Tuesday,Maize,Sooramangalam(Uzhavar Sandhai ),10.13,-49.37
2025-03-12,Wednesday,Maize,Sooramangalam(Uzhavar Sandhai ),10.14,-49.31
2025-03-13,Thursday,Maize,Sooramangalam(Uzhavar Sandhai ),10.14,-49.29
2025-03-07,Friday,Maize,Jalagandapuram(Uzhavar Sandhai ),12.6,-58.0
2025-03-08,Saturday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.83,-67.24
2025-03-09,Sunday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.83,-67.24
2025-03-10,Monday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.9,-67.01
2025-03-11,Tuesday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.95,-66.84
2025-03-12,Wednesday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.96,-66.81
2025-03-13,Thursday,Maize,Jalagandapuram(Uzhavar Sandhai ),9.96,-66.79
2025-03-07,Friday,Maize,Thathakapatti(Uzhavar Sandhai ),11.06,-44.69
2025-03-08,Saturday,Maize,Thathakapatti(Uzhavar Sandhai ),10.06,-49.72
2025-03-09,Sunday,Maize,Thathakapatti(Uzhavar Sandhai ),10.06,-49.71
2025-03-10,Monday,Maize,Thathakapatti(Uzhavar Sandhai ),10.12,-49.39
2025-03-11,Tuesday,Maize,Thathakapatti(Uzhavar Sandhai ),10.18,-49.1
2025-03-12,Wednesday,Maize,Thathakapatti(Uzhavar Sandhai ),10.19,-49.05
2025-03-13,Thursday,Maize,Thathakapatti(Uzhavar Sandhai ),10.19,-49.03
2025-03-07,Friday,Maize,Athur(Uzhavar Sandhai ),12.56,-58.15
2025-03-08,Saturday,Maize,Athur(Uzhavar Sandhai ),9.85,-67.18
2025-03-09,Sunday,Maize,Athur(Uzhavar Sandhai ),9.85,-67.18
2025-03-10,Monday,Maize,Athur(Uzhavar Sandhai ),9.9,-66.99
2025-03-11,Tuesday,Maize,Athur(Uzhavar Sandhai ),9.96,-66.81
2025-03-12,Wednesday,Maize,Athur(Uzhavar Sandhai ),9.96,-66.79
2025-03-13,Thursday,Maize,Athur(Uzhavar Sandhai ),9.97,-66.76
2025-03-07,Friday,Maize,Elampillai(Uzhavar Sandhai ),12.59,-58.05
2025-03-08,Saturday,Maize,Elampillai(Uzhavar Sandhai ),10.51,-64.98
2025-03-09,Sunday,Maize,Elampillai(Uzhavar Sandhai ),10.51,-64.98
2025-03-10,Monday,Maize,Elampillai(Uzhavar Sandhai ),10.5,-65.0
2025-03-11,Tuesday,Maize,Elampillai(Uzhavar Sandhai ),10.56,-64.8
2025-03-12,Wednesday,Maize,Elampillai(Uzhavar Sandhai ),10.57,-64.77
2025-03-13,Thursday,Maize,Elampillai(Uzhavar Sandhai ),10.57,-64.76
