Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mango,Athur(Uzhavar Sandhai ),58.12,-16.97
2025-03-08,Saturday,Mango,Athur(Uzhavar Sandhai ),58.01,-17.12
2025-03-09,Sunday,Mango,Athur(Uzhavar Sandhai ),58.02,-17.12
2025-03-10,Monday,Mango,Athur(Uzhavar Sandhai ),58.01,-17.13
2025-03-11,Tuesday,Mango,Athur(Uzhavar Sandhai ),58.01,-17.13
2025-03-12,Wednesday,Mango,Athur(Uzhavar Sandhai ),58.02,-17.12
2025-03-13,Thursday,Mango,Athur(Uzhavar Sandhai ),58.01,-17.12
2025-03-07,Friday,Mango,Thathakapatti(Uzhavar Sandhai ),99.19,-0.81
2025-03-08,Saturday,Mango,Thathakapatti(Uzhavar Sandhai ),99.23,-0.77
2025-03-09,Sunday,Mango,Thathakapatti(Uzhavar Sandhai ),99.23,-0.77
2025-03-10,Monday,Mango,Thathakapatti(Uzhavar Sandhai ),99.21,-0.79
2025-03-11,Tuesday,Mango,Thathakapatti(Uzhavar Sandhai ),99.21,-0.79
2025-03-12,Wednesday,Mango,Thathakapatti(Uzhavar Sandhai ),99.22,-0.78
2025-03-13,Thursday,Mango,Thathakapatti(Uzhavar Sandhai ),99.22,-0.78
2025-03-07,Friday,Mango,Mettur(Uzhavar Sandhai ),77.62,-2.97
2025-03-08,Saturday,Mango,Mettur(Uzhavar Sandhai ),77.38,-3.27
2025-03-09,Sunday,Mango,Mettur(Uzhavar Sandhai ),77.38,-3.28
2025-03-10,Monday,Mango,Mettur(Uzhavar Sandhai ),77.37,-3.29
2025-03-11,Tuesday,Mango,Mettur(Uzhavar Sandhai ),77.37,-3.28
2025-03-12,Wednesday,Mango,Mettur(Uzhavar Sandhai ),77.39,-3.27
2025-03-13,Thursday,Mango,Mettur(Uzhavar Sandhai ),77.39,-3.27
2025-03-07,Friday,Mango,Sooramangalam(Uzhavar Sandhai ),95.81,-4.19
2025-03-08,Saturday,Mango,Sooramangalam(Uzhavar Sandhai ),95.85,-4.15
2025-03-09,Sunday,Mango,Sooramangalam(Uzhavar Sandhai ),95.92,-4.08
2025-03-10,Monday,Mango,Sooramangalam(Uzhavar Sandhai ),95.9,-4.1
2025-03-11,Tuesday,Mango,Sooramangalam(Uzhavar Sandhai ),95.9,-4.1
2025-03-12,Wednesday,Mango,Sooramangalam(Uzhavar Sandhai ),95.92,-4.08
2025-03-13,Thursday,Mango,Sooramangalam(Uzhavar Sandhai ),95.92,-4.08
