Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.23,2.23
2025-03-08,Saturday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.13,2.13
2025-03-09,Sunday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.13,2.13
2025-03-10,Monday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.12,2.12
2025-03-11,Tuesday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.12,2.12
2025-03-12,Wednesday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.13,2.13
2025-03-13,Thursday,Mango (Raw-Ripe),Ammapet(Uzhavar Sandhai ),102.12,2.12
2025-03-07,Friday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.85,-4.15
2025-03-08,Saturday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.85,-4.15
2025-03-09,Sunday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.91,-4.09
2025-03-10,Monday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.91,-4.09
2025-03-11,Tuesday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.9,-4.1
2025-03-12,Wednesday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.91,-4.09
2025-03-13,Thursday,Mango (Raw-Ripe),Sooramangalam(Uzhavar Sandhai ),95.91,-4.09
2025-03-07,Friday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.22,-0.78
2025-03-08,Saturday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.26,-0.74
2025-03-09,Sunday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.26,-0.74
2025-03-10,Monday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.25,-0.75
2025-03-11,Tuesday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.24,-0.76
2025-03-12,Wednesday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.25,-0.75
2025-03-13,Thursday,Mango (Raw-Ripe),Thathakapatti(Uzhavar Sandhai ),99.25,-0.75
2025-03-07,Friday,Mango (Raw-Ripe),Athur(Uzhavar Sandhai ),78.03,-2.47
2025-03-08,Saturday,Mango (Raw-Ripe),Athur(Uzhavar Sandhai ),78.03,-2.46
2025-03-09,Sunday,Mango (Raw-Ripe),Athur(Uzhavar Sandhai ),78.03,-2.46
2025-03-10,Monday,Mango (Raw-Ripe),Athur(Uzhavar Sandhai ),78.02,-2.47
