Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),24.19,-59.69
2025-03-08,Saturday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.93,-63.45
2025-03-09,Sunday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.49,-64.19
2025-03-10,Monday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.43,-64.29
2025-03-11,Tuesday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.42,-64.3
2025-03-12,Wednesday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.43,-64.28
2025-03-13,Thursday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),21.43,-64.29
2025-03-07,Friday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),57.67,-27.91
2025-03-08,Saturday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.91,-28.86
2025-03-09,Sunday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.92,-28.85
2025-03-10,Monday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.9,-28.87
2025-03-11,Tuesday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.9,-28.88
2025-03-12,Wednesday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.9,-28.87
2025-03-13,Thursday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),56.9,-28.87
2025-03-07,Friday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.54,0.67
2025-03-08,Saturday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.54,0.67
2025-03-09,Sunday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.54,0.67
2025-03-10,Monday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.52,0.66
2025-03-11,Tuesday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.52,0.65
2025-03-12,Wednesday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.53,0.66
2025-03-13,Thursday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.52,0.65
2025-03-07,Friday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.78,-25.27
2025-03-08,Saturday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.18,-26.03
2025-03-09,Sunday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.13,-26.09
2025-03-10,Monday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.12,-26.1
2025-03-11,Tuesday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.11,-26.11
2025-03-12,Wednesday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.12,-26.1
2025-03-13,Thursday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),59.12,-26.1
2025-03-07,Friday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-08,Saturday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-09,Sunday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-10,Monday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.83,1.83
2025-03-11,Tuesday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.83,1.83
2025-03-12,Wednesday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.83,1.83
2025-03-13,Thursday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),101.83,1.83
2025-03-07,Friday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.54,2.54
2025-03-08,Saturday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.58,2.58
2025-03-09,Sunday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.59,2.59
2025-03-10,Monday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.56,2.56
2025-03-11,Tuesday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.56,2.56
2025-03-12,Wednesday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.56,2.56
2025-03-13,Thursday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),102.56,2.56
2025-03-07,Friday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.25,4.06
2025-03-08,Saturday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.35,4.19
2025-03-09,Sunday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.36,4.2
2025-03-10,Monday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.34,4.17
2025-03-11,Tuesday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.34,4.17
2025-03-12,Wednesday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.35,4.19
2025-03-13,Thursday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),83.35,4.19
