Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mashrooms,Ammapet(Uzhavar Sandhai ),12.56,-58.14
2025-03-08,Saturday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.34,-65.52
2025-03-09,Sunday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.35,-65.51
2025-03-10,Monday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.41,-65.29
2025-03-11,Tuesday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.46,-65.13
2025-03-12,Wednesday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.47,-65.1
2025-03-13,Thursday,Mashrooms,Ammapet(Uzhavar Sandhai ),10.47,-65.11
2025-03-07,Friday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),12.74,-63.61
2025-03-08,Saturday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.17,-70.95
2025-03-09,Sunday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.17,-70.94
2025-03-10,Monday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.23,-70.78
2025-03-11,Tuesday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.28,-70.64
2025-03-12,Wednesday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.29,-70.61
2025-03-13,Thursday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),10.3,-70.58
2025-03-07,Friday,Mashrooms,Mettur(Uzhavar Sandhai ),12.54,-58.2
2025-03-08,Saturday,Mashrooms,Mettur(Uzhavar Sandhai ),10.2,-66.0
2025-03-09,Sunday,Mashrooms,Mettur(Uzhavar Sandhai ),10.2,-65.99
2025-03-10,Monday,Mashrooms,Mettur(Uzhavar Sandhai ),10.27,-65.78
2025-03-11,Tuesday,Mashrooms,Mettur(Uzhavar Sandhai ),10.31,-65.62
2025-03-12,Wednesday,Mashrooms,Mettur(Uzhavar Sandhai ),10.32,-65.59
2025-03-13,Thursday,Mashrooms,Mettur(Uzhavar Sandhai ),10.33,-65.56
2025-03-07,Friday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),12.55,-58.16
2025-03-08,Saturday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.16,-66.15
2025-03-09,Sunday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.16,-66.14
2025-03-10,Monday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.22,-65.95
2025-03-11,Tuesday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.26,-65.79
2025-03-12,Wednesday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.27,-65.76
2025-03-13,Thursday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),10.28,-65.72
2025-03-07,Friday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),12.49,-58.37
2025-03-08,Saturday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.12,-66.25
2025-03-09,Sunday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.13,-66.25
2025-03-10,Monday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.18,-66.05
2025-03-11,Tuesday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.23,-65.89
2025-03-12,Wednesday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.24,-65.86
2025-03-13,Thursday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),10.25,-65.83
2025-03-07,Friday,Mashrooms,Athur(Uzhavar Sandhai ),12.36,-58.8
2025-03-08,Saturday,Mashrooms,Athur(Uzhavar Sandhai ),10.0,-66.68
2025-03-09,Sunday,Mashrooms,Athur(Uzhavar Sandhai ),10.0,-66.67
2025-03-10,Monday,Mashrooms,Athur(Uzhavar Sandhai ),10.05,-66.49
2025-03-11,Tuesday,Mashrooms,Athur(Uzhavar Sandhai ),10.1,-66.34
2025-03-12,Wednesday,Mashrooms,Athur(Uzhavar Sandhai ),10.11,-66.31
2025-03-13,Thursday,Mashrooms,Athur(Uzhavar Sandhai ),10.12,-66.28
2025-03-07,Friday,Mashrooms,Elampillai(Uzhavar Sandhai ),12.89,-67.79
2025-03-08,Saturday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.62,-73.46
2025-03-09,Sunday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.62,-73.46
2025-03-10,Monday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.61,-73.48
2025-03-11,Tuesday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.66,-73.36
2025-03-12,Wednesday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.67,-73.33
2025-03-13,Thursday,Mashrooms,Elampillai(Uzhavar Sandhai ),10.66,-73.35
2025-03-07,Friday,Mashrooms,Edapadi (Uzhavar Sandhai ),12.68,-63.76
2025-03-08,Saturday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.52,-69.94
2025-03-09,Sunday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.52,-69.94
2025-03-10,Monday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.59,-69.74
2025-03-11,Tuesday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.64,-69.61
2025-03-12,Wednesday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.65,-69.58
2025-03-13,Thursday,Mashrooms,Edapadi (Uzhavar Sandhai ),10.64,-69.61
