Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),12.05,-51.8
2025-03-08,Saturday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.3,-58.82
2025-03-09,Sunday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.3,-58.81
2025-03-10,Monday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.37,-58.51
2025-03-11,Tuesday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.42,-58.32
2025-03-12,Wednesday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.43,-58.29
2025-03-13,Thursday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),10.42,-58.31
2025-03-07,Friday,Mint(Pudina),Athur(Uzhavar Sandhai ),12.31,-58.98
2025-03-08,Saturday,Mint(Pudina),Athur(Uzhavar Sandhai ),9.92,-66.93
2025-03-09,Sunday,Mint(Pudina),Athur(Uzhavar Sandhai ),9.93,-66.91
2025-03-10,Monday,Mint(Pudina),Athur(Uzhavar Sandhai ),9.99,-66.71
2025-03-11,Tuesday,Mint(Pudina),Athur(Uzhavar Sandhai ),10.03,-66.58
2025-03-12,Wednesday,Mint(Pudina),Athur(Uzhavar Sandhai ),10.03,-66.55
2025-03-13,Thursday,Mint(Pudina),Athur(Uzhavar Sandhai ),10.05,-66.52
2025-03-07,Friday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),12.11,-51.57
2025-03-08,Saturday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.23,-55.09
2025-03-09,Sunday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.24,-55.04
2025-03-10,Monday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.23,-55.07
2025-03-11,Tuesday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.27,-54.9
2025-03-12,Wednesday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.28,-54.88
2025-03-13,Thursday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),11.27,-54.92
2025-03-07,Friday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),12.0,-52.01
2025-03-08,Saturday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),10.52,-57.92
2025-03-09,Sunday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),10.52,-57.92
