Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Onion,Ammapet(Uzhavar Sandhai ),13.14,-73.73
2025-03-08,Saturday,Onion,Ammapet(Uzhavar Sandhai ),9.95,-80.09
2025-03-09,Sunday,Onion,Ammapet(Uzhavar Sandhai ),9.96,-80.09
2025-03-10,Monday,Onion,Ammapet(Uzhavar Sandhai ),10.03,-79.94
2025-03-11,Tuesday,Onion,Ammapet(Uzhavar Sandhai ),10.08,-79.85
2025-03-12,Wednesday,Onion,Ammapet(Uzhavar Sandhai ),10.09,-79.83
2025-03-13,Thursday,Onion,Ammapet(Uzhavar Sandhai ),10.09,-79.81
2025-03-07,Friday,Onion,Athur(Uzhavar Sandhai ),15.46,-69.08
2025-03-08,Saturday,Onion,Athur(Uzhavar Sandhai ),13.79,-72.42
2025-03-09,Sunday,Onion,Athur(Uzhavar Sandhai ),13.79,-72.42
2025-03-10,Monday,Onion,Athur(Uzhavar Sandhai ),13.79,-72.41
2025-03-11,Tuesday,Onion,Athur(Uzhavar Sandhai ),13.79,-72.41
2025-03-12,Wednesday,Onion,Athur(Uzhavar Sandhai ),13.8,-72.4
2025-03-13,Thursday,Onion,Athur(Uzhavar Sandhai ),13.79,-72.41
2025-03-07,Friday,Onion,Attayampatti(Uzhavar Sandhai ),18.57,-62.85
2025-03-08,Saturday,Onion,Attayampatti(Uzhavar Sandhai ),15.6,-68.81
2025-03-09,Sunday,Onion,Attayampatti(Uzhavar Sandhai ),15.63,-68.74
2025-03-10,Monday,Onion,Attayampatti(Uzhavar Sandhai ),15.64,-68.73
2025-03-11,Tuesday,Onion,Attayampatti(Uzhavar Sandhai ),15.64,-68.73
2025-03-12,Wednesday,Onion,Attayampatti(Uzhavar Sandhai ),15.64,-68.72
2025-03-13,Thursday,Onion,Attayampatti(Uzhavar Sandhai ),15.63,-68.73
2025-03-07,Friday,Onion,Edapadi (Uzhavar Sandhai ),18.16,-63.67
2025-03-08,Saturday,Onion,Edapadi (Uzhavar Sandhai ),15.91,-68.17
2025-03-09,Sunday,Onion,Edapadi (Uzhavar Sandhai ),15.94,-68.12
2025-03-10,Monday,Onion,Edapadi (Uzhavar Sandhai ),15.94,-68.11
2025-03-11,Tuesday,Onion,Edapadi (Uzhavar Sandhai ),15.94,-68.11
2025-03-12,Wednesday,Onion,Edapadi (Uzhavar Sandhai ),15.95,-68.11
2025-03-13,Thursday,Onion,Edapadi (Uzhavar Sandhai ),15.94,-68.12
2025-03-07,Friday,Onion,Elampillai(Uzhavar Sandhai ),16.31,-67.39
2025-03-08,Saturday,Onion,Elampillai(Uzhavar Sandhai ),14.34,-71.32
2025-03-09,Sunday,Onion,Elampillai(Uzhavar Sandhai ),14.34,-71.31
2025-03-10,Monday,Onion,Elampillai(Uzhavar Sandhai ),14.35,-71.3
2025-03-11,Tuesday,Onion,Elampillai(Uzhavar Sandhai ),14.35,-71.3
2025-03-12,Wednesday,Onion,Elampillai(Uzhavar Sandhai ),14.35,-71.29
2025-03-13,Thursday,Onion,Elampillai(Uzhavar Sandhai ),14.35,-71.3
2025-03-07,Friday,Onion,Hasthampatti(Uzhavar Sandhai ),13.22,-73.56
2025-03-08,Saturday,Onion,Hasthampatti(Uzhavar Sandhai ),9.94,-80.12
2025-03-09,Sunday,Onion,Hasthampatti(Uzhavar Sandhai ),9.95,-80.11
2025-03-10,Monday,Onion,Hasthampatti(Uzhavar Sandhai ),10.01,-79.98
2025-03-11,Tuesday,Onion,Hasthampatti(Uzhavar Sandhai ),10.06,-79.89
2025-03-12,Wednesday,Onion,Hasthampatti(Uzhavar Sandhai ),10.07,-79.87
2025-03-13,Thursday,Onion,Hasthampatti(Uzhavar Sandhai ),10.07,-79.85
2025-03-07,Friday,Onion,Jalagandapuram(Uzhavar Sandhai ),14.43,-69.93
2025-03-08,Saturday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.84,-73.24
2025-03-09,Sunday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.84,-73.25
2025-03-10,Monday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.85,-73.23
2025-03-11,Tuesday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.84,-73.25
2025-03-12,Wednesday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.85,-73.24
2025-03-13,Thursday,Onion,Jalagandapuram(Uzhavar Sandhai ),12.84,-73.25
2025-03-07,Friday,Onion,Mettur(Uzhavar Sandhai ),13.96,-72.08
2025-03-08,Saturday,Onion,Mettur(Uzhavar Sandhai ),12.19,-75.61
2025-03-09,Sunday,Onion,Mettur(Uzhavar Sandhai ),12.19,-75.62
2025-03-10,Monday,Onion,Mettur(Uzhavar Sandhai ),12.18,-75.64
2025-03-11,Tuesday,Onion,Mettur(Uzhavar Sandhai ),12.17,-75.67
2025-03-12,Wednesday,Onion,Mettur(Uzhavar Sandhai ),12.17,-75.65
2025-03-13,Thursday,Onion,Mettur(Uzhavar Sandhai ),12.18,-75.64
2025-03-07,Friday,Onion,Sooramangalam(Uzhavar Sandhai ),13.24,-73.52
2025-03-08,Saturday,Onion,Sooramangalam(Uzhavar Sandhai ),9.9,-80.21
2025-03-09,Sunday,Onion,Sooramangalam(Uzhavar Sandhai ),9.9,-80.2
2025-03-10,Monday,Onion,Sooramangalam(Uzhavar Sandhai ),9.96,-80.08
2025-03-11,Tuesday,Onion,Sooramangalam(Uzhavar Sandhai ),10.01,-79.99
2025-03-12,Wednesday,Onion,Sooramangalam(Uzhavar Sandhai ),10.02,-79.97
2025-03-13,Thursday,Onion,Sooramangalam(Uzhavar Sandhai ),10.02,-79.95
2025-03-07,Friday,Onion,Thammampatti (Uzhavar Sandhai ),18.19,-63.61
2025-03-08,Saturday,Onion,Thammampatti (Uzhavar Sandhai ),15.91,-68.18
2025-03-09,Sunday,Onion,Thammampatti (Uzhavar Sandhai ),15.92,-68.17
2025-03-10,Monday,Onion,Thammampatti (Uzhavar Sandhai ),15.92,-68.16
2025-03-11,Tuesday,Onion,Thammampatti (Uzhavar Sandhai ),15.92,-68.16
2025-03-12,Wednesday,Onion,Thammampatti (Uzhavar Sandhai ),15.92,-68.15
2025-03-13,Thursday,Onion,Thammampatti (Uzhavar Sandhai ),15.92,-68.17
2025-03-07,Friday,Onion,Thathakapatti(Uzhavar Sandhai ),13.17,-73.65
2025-03-08,Saturday,Onion,Thathakapatti(Uzhavar Sandhai ),9.89,-80.22
2025-03-09,Sunday,Onion,Thathakapatti(Uzhavar Sandhai ),9.89,-80.21
2025-03-10,Monday,Onion,Thathakapatti(Uzhavar Sandhai ),9.96,-80.08
2025-03-11,Tuesday,Onion,Thathakapatti(Uzhavar Sandhai ),10.01,-79.99
2025-03-12,Wednesday,Onion,Thathakapatti(Uzhavar Sandhai ),10.02,-79.97
2025-03-13,Thursday,Onion,Thathakapatti(Uzhavar Sandhai ),10.02,-79.96
