Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Onion Green,Ammapet(Uzhavar Sandhai ),12.79,-71.58
2025-03-08,Saturday,Onion Green,Ammapet(Uzhavar Sandhai ),9.99,-77.81
2025-03-09,Sunday,Onion Green,Ammapet(Uzhavar Sandhai ),9.99,-77.81
2025-03-10,Monday,Onion Green,Ammapet(Uzhavar Sandhai ),10.06,-77.65
2025-03-11,Tuesday,Onion Green,Ammapet(Uzhavar Sandhai ),10.11,-77.54
2025-03-12,Wednesday,Onion Green,Ammapet(Uzhavar Sandhai ),10.12,-77.52
2025-03-13,Thursday,Onion Green,Ammapet(Uzhavar Sandhai ),10.12,-77.51
2025-03-07,Friday,Onion Green,Athur(Uzhavar Sandhai ),12.5,-68.75
2025-03-08,Saturday,Onion Green,Athur(Uzhavar Sandhai ),9.65,-75.89
2025-03-09,Sunday,Onion Green,Athur(Uzhavar Sandhai ),9.65,-75.88
2025-03-10,Monday,Onion Green,Athur(Uzhavar Sandhai ),9.71,-75.73
2025-03-11,Tuesday,Onion Green,Athur(Uzhavar Sandhai ),9.76,-75.61
2025-03-12,Wednesday,Onion Green,Athur(Uzhavar Sandhai ),9.77,-75.58
2025-03-13,Thursday,Onion Green,Athur(Uzhavar Sandhai ),9.77,-75.57
2025-03-07,Friday,Onion Green,Attayampatti(Uzhavar Sandhai ),12.72,-71.74
2025-03-08,Saturday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.86,-75.86
2025-03-09,Sunday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.87,-75.85
2025-03-10,Monday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.87,-75.85
2025-03-11,Tuesday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.91,-75.75
2025-03-12,Wednesday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.92,-75.73
2025-03-13,Thursday,Onion Green,Attayampatti(Uzhavar Sandhai ),10.92,-75.73
2025-03-07,Friday,Onion Green,Edapadi (Uzhavar Sandhai ),12.75,-71.66
2025-03-08,Saturday,Onion Green,Edapadi (Uzhavar Sandhai ),10.23,-77.26
2025-03-09,Sunday,Onion Green,Edapadi (Uzhavar Sandhai ),10.23,-77.26
2025-03-10,Monday,Onion Green,Edapadi (Uzhavar Sandhai ),10.31,-77.09
2025-03-11,Tuesday,Onion Green,Edapadi (Uzhavar Sandhai ),10.36,-76.98
2025-03-12,Wednesday,Onion Green,Edapadi (Uzhavar Sandhai ),10.37,-76.96
2025-03-13,Thursday,Onion Green,Edapadi (Uzhavar Sandhai ),10.37,-76.96
2025-03-07,Friday,Onion Green,Elampillai(Uzhavar Sandhai ),16.67,-66.65
2025-03-08,Saturday,Onion Green,Elampillai(Uzhavar Sandhai ),14.64,-70.71
2025-03-09,Sunday,Onion Green,Elampillai(Uzhavar Sandhai ),14.65,-70.7
2025-03-10,Monday,Onion Green,Elampillai(Uzhavar Sandhai ),14.65,-70.69
2025-03-11,Tuesday,Onion Green,Elampillai(Uzhavar Sandhai ),14.66,-70.69
2025-03-12,Wednesday,Onion Green,Elampillai(Uzhavar Sandhai ),14.66,-70.68
2025-03-13,Thursday,Onion Green,Elampillai(Uzhavar Sandhai ),14.66,-70.69
2025-03-07,Friday,Onion Green,Hasthampatti(Uzhavar Sandhai ),12.94,-71.24
2025-03-08,Saturday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.0,-77.77
2025-03-09,Sunday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.01,-77.76
2025-03-10,Monday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.07,-77.62
2025-03-11,Tuesday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.12,-77.51
2025-03-12,Wednesday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.13,-77.49
2025-03-13,Thursday,Onion Green,Hasthampatti(Uzhavar Sandhai ),10.13,-77.48
2025-03-07,Friday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),12.74,-71.69
2025-03-08,Saturday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.65,-78.55
2025-03-09,Sunday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.65,-78.55
2025-03-10,Monday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.73,-78.39
2025-03-11,Tuesday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.77,-78.28
2025-03-12,Wednesday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.78,-78.26
2025-03-13,Thursday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),9.79,-78.25
2025-03-07,Friday,Onion Green,Mettur(Uzhavar Sandhai ),14.04,-71.92
2025-03-08,Saturday,Onion Green,Mettur(Uzhavar Sandhai ),12.29,-75.41
2025-03-09,Sunday,Onion Green,Mettur(Uzhavar Sandhai ),12.3,-75.41
2025-03-10,Monday,Onion Green,Mettur(Uzhavar Sandhai ),12.28,-75.44
2025-03-11,Tuesday,Onion Green,Mettur(Uzhavar Sandhai ),12.27,-75.47
2025-03-12,Wednesday,Onion Green,Mettur(Uzhavar Sandhai ),12.28,-75.44
2025-03-13,Thursday,Onion Green,Mettur(Uzhavar Sandhai ),12.28,-75.43
2025-03-07,Friday,Onion Green,Sooramangalam(Uzhavar Sandhai ),12.93,-71.26
2025-03-08,Saturday,Onion Green,Sooramangalam(Uzhavar Sandhai ),9.93,-77.93
2025-03-09,Sunday,Onion Green,Sooramangalam(Uzhavar Sandhai ),9.94,-77.92
2025-03-10,Monday,Onion Green,Sooramangalam(Uzhavar Sandhai ),10.0,-77.78
2025-03-11,Tuesday,Onion Green,Sooramangalam(Uzhavar Sandhai ),10.05,-77.67
2025-03-12,Wednesday,Onion Green,Sooramangalam(Uzhavar Sandhai ),10.06,-77.66
2025-03-13,Thursday,Onion Green,Sooramangalam(Uzhavar Sandhai ),10.06,-77.65
2025-03-07,Friday,Onion Green,Thammampatti (Uzhavar Sandhai ),12.76,-72.25
2025-03-08,Saturday,Onion Green,Thammampatti (Uzhavar Sandhai ),10.91,-76.29
2025-03-09,Sunday,Onion Green,Thammampatti (Uzhavar Sandhai ),10.91,-76.29
2025-03-10,Monday,Onion Green,Thammampatti (Uzhavar Sandhai ),10.9,-76.3
2025-03-11,Tuesday,Onion Green,Thammampatti (Uzhavar Sandhai ),10.95,-76.19
