Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Orange,Ammapet(Uzhavar Sandhai ),65.86,-17.67
2025-03-08,Saturday,Orange,Ammapet(Uzhavar Sandhai ),64.92,-18.85
2025-03-09,Sunday,Orange,Ammapet(Uzhavar Sandhai ),64.93,-18.84
2025-03-10,Monday,Orange,Ammapet(Uzhavar Sandhai ),64.93,-18.84
2025-03-11,Tuesday,Orange,Ammapet(Uzhavar Sandhai ),64.94,-18.83
2025-03-12,Wednesday,Orange,Ammapet(Uzhavar Sandhai ),64.95,-18.81
2025-03-13,Thursday,Orange,Ammapet(Uzhavar Sandhai ),64.95,-18.82
2025-03-07,Friday,Orange,Hasthampatti(Uzhavar Sandhai ),55.99,-30.02
2025-03-08,Saturday,Orange,Hasthampatti(Uzhavar Sandhai ),55.29,-30.89
2025-03-09,Sunday,Orange,Hasthampatti(Uzhavar Sandhai ),55.23,-30.96
2025-03-10,Monday,Orange,Hasthampatti(Uzhavar Sandhai ),55.23,-30.96
2025-03-11,Tuesday,Orange,Hasthampatti(Uzhavar Sandhai ),55.23,-30.96
2025-03-12,Wednesday,Orange,Hasthampatti(Uzhavar Sandhai ),55.24,-30.95
2025-03-13,Thursday,Orange,Hasthampatti(Uzhavar Sandhai ),55.23,-30.96
2025-03-07,Friday,Orange,Mettur(Uzhavar Sandhai ),77.69,-2.89
2025-03-08,Saturday,Orange,Mettur(Uzhavar Sandhai ),77.72,-2.86
2025-03-09,Sunday,Orange,Mettur(Uzhavar Sandhai ),77.72,-2.85
2025-03-10,Monday,Orange,Mettur(Uzhavar Sandhai ),77.71,-2.86
2025-03-11,Tuesday,Orange,Mettur(Uzhavar Sandhai ),77.71,-2.86
2025-03-12,Wednesday,Orange,Mettur(Uzhavar Sandhai ),77.72,-2.85
2025-03-13,Thursday,Orange,Mettur(Uzhavar Sandhai ),77.72,-2.85
2025-03-07,Friday,Orange,Sooramangalam(Uzhavar Sandhai ),58.93,-26.34
2025-03-08,Saturday,Orange,Sooramangalam(Uzhavar Sandhai ),58.14,-27.33
2025-03-09,Sunday,Orange,Sooramangalam(Uzhavar Sandhai ),58.16,-27.3
2025-03-10,Monday,Orange,Sooramangalam(Uzhavar Sandhai ),58.16,-27.3
2025-03-11,Tuesday,Orange,Sooramangalam(Uzhavar Sandhai ),58.16,-27.3
2025-03-12,Wednesday,Orange,Sooramangalam(Uzhavar Sandhai ),58.17,-27.29
2025-03-13,Thursday,Orange,Sooramangalam(Uzhavar Sandhai ),58.17,-27.29
2025-03-07,Friday,Orange,Jalagandapuram(Uzhavar Sandhai ),43.75,-27.08
2025-03-08,Saturday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.97,-28.38
2025-03-09,Sunday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.91,-28.49
2025-03-10,Monday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.91,-28.48
2025-03-11,Tuesday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.91,-28.48
2025-03-12,Wednesday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.92,-28.47
2025-03-13,Thursday,Orange,Jalagandapuram(Uzhavar Sandhai ),42.92,-28.47
2025-03-07,Friday,Orange,Thammampatti (Uzhavar Sandhai ),10.53,-64.9
2025-03-08,Saturday,Orange,Thammampatti (Uzhavar Sandhai ),9.41,-68.64
2025-03-09,Sunday,Orange,Thammampatti (Uzhavar Sandhai ),9.41,-68.63
2025-03-10,Monday,Orange,Thammampatti (Uzhavar Sandhai ),9.38,-68.74
2025-03-11,Tuesday,Orange,Thammampatti (Uzhavar Sandhai ),9.42,-68.59
2025-03-12,Wednesday,Orange,Thammampatti (Uzhavar Sandhai ),9.43,-68.55
2025-03-13,Thursday,Orange,Thammampatti (Uzhavar Sandhai ),9.41,-68.62
