Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Paddy(Dhan)(Common),Thammampati,8.65,-55.63
2025-03-08,Saturday,Paddy(Dhan)(Common),Thammampati,7.49,-61.6
2025-03-09,Sunday,Paddy(Dhan)(Common),Thammampati,7.49,-61.59
2025-03-10,Monday,Paddy(Dhan)(Common),Thammampati,7.5,-61.54
2025-03-11,Tuesday,Paddy(Dhan)(Common),Thammampati,7.54,-61.33
2025-03-12,Wednesday,Paddy(Dhan)(Common),Thammampati,7.55,-61.28
2025-03-13,Thursday,Paddy(Dhan)(Common),Thammampati,7.54,-61.35
2025-03-07,Friday,Paddy(Dhan)(Common),Karumanturai,7.5,-47.76
2025-03-08,Saturday,Paddy(Dhan)(Common),Karumanturai,7.51,-47.69
2025-03-09,Sunday,Paddy(Dhan)(Common),Karumanturai,7.51,-47.67
2025-03-10,Monday,Paddy(Dhan)(Common),Karumanturai,7.52,-47.62
2025-03-11,Tuesday,Paddy(Dhan)(Common),Karumanturai,7.57,-47.32
2025-03-12,Wednesday,Paddy(Dhan)(Common),Karumanturai,7.57,-47.25
2025-03-13,Thursday,Paddy(Dhan)(Common),Karumanturai,7.56,-47.35
2025-03-07,Friday,Paddy(Dhan)(Common),Thalaivasal,7.5,-37.51
2025-03-08,Saturday,Paddy(Dhan)(Common),Thalaivasal,7.51,-37.4
2025-03-09,Sunday,Paddy(Dhan)(Common),Thalaivasal,7.51,-37.38
2025-03-10,Monday,Paddy(Dhan)(Common),Thalaivasal,7.52,-37.32
2025-03-11,Tuesday,Paddy(Dhan)(Common),Thalaivasal,7.57,-36.96
2025-03-12,Wednesday,Paddy(Dhan)(Common),Thalaivasal,7.57,-36.88
2025-03-13,Thursday,Paddy(Dhan)(Common),Thalaivasal,7.56,-36.99
