Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Papaya,Ammapet(Uzhavar Sandhai ),12.59,-58.02
2025-03-08,Saturday,Papaya,Ammapet(Uzhavar Sandhai ),10.43,-65.22
2025-03-09,Sunday,Papaya,Ammapet(Uzhavar Sandhai ),10.43,-65.22
2025-03-10,Monday,Papaya,Ammapet(Uzhavar Sandhai ),10.51,-64.97
2025-03-11,Tuesday,Papaya,Ammapet(Uzhavar Sandhai ),10.56,-64.81
2025-03-12,Wednesday,Papaya,Ammapet(Uzhavar Sandhai ),10.57,-64.78
2025-03-13,Thursday,Papaya,Ammapet(Uzhavar Sandhai ),10.56,-64.81
2025-03-07,Friday,Papaya,Athur(Uzhavar Sandhai ),12.07,-51.73
2025-03-08,Saturday,Papaya,Athur(Uzhavar Sandhai ),10.11,-59.56
2025-03-09,Sunday,Papaya,Athur(Uzhavar Sandhai ),10.11,-59.55
2025-03-10,Monday,Papaya,Athur(Uzhavar Sandhai ),10.16,-59.34
2025-03-11,Tuesday,Papaya,Athur(Uzhavar Sandhai ),10.21,-59.18
2025-03-12,Wednesday,Papaya,Athur(Uzhavar Sandhai ),10.21,-59.15
2025-03-13,Thursday,Papaya,Athur(Uzhavar Sandhai ),10.22,-59.11
2025-03-07,Friday,Papaya,Attayampatti(Uzhavar Sandhai ),12.53,-58.24
2025-03-08,Saturday,Papaya,Attayampatti(Uzhavar Sandhai ),11.35,-62.16
2025-03-09,Sunday,Papaya,Attayampatti(Uzhavar Sandhai ),11.35,-62.16
2025-03-10,Monday,Papaya,Attayampatti(Uzhavar Sandhai ),11.34,-62.21
2025-03-11,Tuesday,Papaya,Attayampatti(Uzhavar Sandhai ),11.38,-62.07
2025-03-12,Wednesday,Papaya,Attayampatti(Uzhavar Sandhai ),11.39,-62.04
2025-03-13,Thursday,Papaya,Attayampatti(Uzhavar Sandhai ),11.37,-62.08
2025-03-07,Friday,Papaya,Edapadi (Uzhavar Sandhai ),12.48,-58.39
2025-03-08,Saturday,Papaya,Edapadi (Uzhavar Sandhai ),10.59,-64.7
2025-03-09,Sunday,Papaya,Edapadi (Uzhavar Sandhai ),10.59,-64.7
2025-03-10,Monday,Papaya,Edapadi (Uzhavar Sandhai ),10.66,-64.48
2025-03-11,Tuesday,Papaya,Edapadi (Uzhavar Sandhai ),10.7,-64.34
2025-03-12,Wednesday,Papaya,Edapadi (Uzhavar Sandhai ),10.71,-64.31
2025-03-13,Thursday,Papaya,Edapadi (Uzhavar Sandhai ),10.7,-64.34
2025-03-07,Friday,Papaya,Elampillai(Uzhavar Sandhai ),12.43,-58.58
2025-03-08,Saturday,Papaya,Elampillai(Uzhavar Sandhai ),10.71,-64.29
2025-03-09,Sunday,Papaya,Elampillai(Uzhavar Sandhai ),10.71,-64.29
2025-03-10,Monday,Papaya,Elampillai(Uzhavar Sandhai ),10.71,-64.31
2025-03-11,Tuesday,Papaya,Elampillai(Uzhavar Sandhai ),10.76,-64.15
2025-03-12,Wednesday,Papaya,Elampillai(Uzhavar Sandhai ),10.76,-64.12
2025-03-13,Thursday,Papaya,Elampillai(Uzhavar Sandhai ),10.75,-64.15
2025-03-07,Friday,Papaya,Hasthampatti(Uzhavar Sandhai ),12.76,-63.55
2025-03-08,Saturday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.27,-70.67
2025-03-09,Sunday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.27,-70.66
2025-03-10,Monday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.34,-70.47
2025-03-11,Tuesday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.38,-70.33
2025-03-12,Wednesday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.39,-70.31
2025-03-13,Thursday,Papaya,Hasthampatti(Uzhavar Sandhai ),10.4,-70.29
