Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.43,-34.81
2025-03-08,Saturday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.46,-34.61
2025-03-09,Sunday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.46,-34.6
2025-03-10,Monday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.53,-34.18
2025-03-11,Tuesday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.58,-33.88
2025-03-12,Wednesday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.59,-33.81
2025-03-13,Thursday,Pumpkin,Ammapet(Uzhavar Sandhai ),10.6,-33.77
2025-03-07,Friday,Pumpkin,Athur(Uzhavar Sandhai ),10.12,-36.75
2025-03-08,Saturday,Pumpkin,Athur(Uzhavar Sandhai ),10.15,-36.54
2025-03-09,Sunday,Pumpkin,Athur(Uzhavar Sandhai ),10.15,-36.55
2025-03-10,Monday,Pumpkin,Athur(Uzhavar Sandhai ),10.2,-36.23
2025-03-11,Tuesday,Pumpkin,Athur(Uzhavar Sandhai ),10.24,-35.97
2025-03-12,Wednesday,Pumpkin,Athur(Uzhavar Sandhai ),10.26,-35.9
2025-03-13,Thursday,Pumpkin,Athur(Uzhavar Sandhai ),10.26,-35.85
2025-03-07,Friday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.3,-29.35
2025-03-08,Saturday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.33,-29.16
2025-03-09,Sunday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.33,-29.17
2025-03-10,Monday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.32,-29.24
2025-03-11,Tuesday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.36,-28.98
2025-03-12,Wednesday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.37,-28.91
2025-03-13,Thursday,Pumpkin,Attayampatti(Uzhavar Sandhai ),11.38,-28.89
2025-03-07,Friday,Pumpkin,Edapadi (Uzhavar Sandhai ),10.64,-33.48
2025-03-08,Saturday,Pumpkin,Edapadi (Uzhavar Sandhai ),10.67,-33.32
2025-03-09,Sunday,Pumpkin,Edapadi (Uzhavar Sandhai ),10.67,-33.32
2025-03-10,Monday,Pumpkin,Edapadi (Uzhavar Sandhai ),10.74,-32.89
2025-03-11,Tuesday,Pumpkin,Edapadi (Uzhavar Sandhai ),10.78,-32.64
