Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Raddish,Ammapet(Uzhavar Sandhai ),10.34,-42.58
2025-03-08,Saturday,Raddish,Ammapet(Uzhavar Sandhai ),10.51,-41.59
2025-03-09,Sunday,Raddish,Ammapet(Uzhavar Sandhai ),10.51,-41.6
2025-03-10,Monday,Raddish,Ammapet(Uzhavar Sandhai ),10.57,-41.28
2025-03-11,Tuesday,Raddish,Ammapet(Uzhavar Sandhai ),10.62,-41.01
2025-03-12,Wednesday,Raddish,Ammapet(Uzhavar Sandhai ),10.63,-40.96
2025-03-13,Thursday,Raddish,Ammapet(Uzhavar Sandhai ),10.64,-40.91
2025-03-07,Friday,Raddish,Athur(Uzhavar Sandhai ),10.18,-27.28
2025-03-08,Saturday,Raddish,Athur(Uzhavar Sandhai ),10.19,-27.24
2025-03-09,Sunday,Raddish,Athur(Uzhavar Sandhai ),10.18,-27.29
2025-03-10,Monday,Raddish,Athur(Uzhavar Sandhai ),10.22,-27.0
2025-03-11,Tuesday,Raddish,Athur(Uzhavar Sandhai ),10.27,-26.65
2025-03-12,Wednesday,Raddish,Athur(Uzhavar Sandhai ),10.27,-26.61
2025-03-13,Thursday,Raddish,Athur(Uzhavar Sandhai ),10.29,-26.53
2025-03-07,Friday,Raddish,Attayampatti(Uzhavar Sandhai ),11.3,-37.2
2025-03-08,Saturday,Raddish,Attayampatti(Uzhavar Sandhai ),11.37,-36.85
2025-03-09,Sunday,Raddish,Attayampatti(Uzhavar Sandhai ),11.36,-36.87
2025-03-10,Monday,Raddish,Attayampatti(Uzhavar Sandhai ),11.35,-36.96
2025-03-11,Tuesday,Raddish,Attayampatti(Uzhavar Sandhai ),11.4,-36.68
2025-03-12,Wednesday,Raddish,Attayampatti(Uzhavar Sandhai ),11.4,-36.65
2025-03-13,Thursday,Raddish,Attayampatti(Uzhavar Sandhai ),11.41,-36.61
2025-03-07,Friday,Raddish,Edapadi (Uzhavar Sandhai ),10.55,-41.41
2025-03-08,Saturday,Raddish,Edapadi (Uzhavar Sandhai ),10.68,-40.68
2025-03-09,Sunday,Raddish,Edapadi (Uzhavar Sandhai ),10.67,-40.7
2025-03-10,Monday,Raddish,Edapadi (Uzhavar Sandhai ),10.73,-40.38
2025-03-11,Tuesday,Raddish,Edapadi (Uzhavar Sandhai ),10.78,-40.11
2025-03-12,Wednesday,Raddish,Edapadi (Uzhavar Sandhai ),10.79,-40.06
2025-03-13,Thursday,Raddish,Edapadi (Uzhavar Sandhai ),10.8,-40.02
2025-03-07,Friday,Raddish,Elampillai(Uzhavar Sandhai ),10.94,-45.29
2025-03-08,Saturday,Raddish,Elampillai(Uzhavar Sandhai ),10.83,-45.86
2025-03-09,Sunday,Raddish,Elampillai(Uzhavar Sandhai ),10.82,-45.88
2025-03-10,Monday,Raddish,Elampillai(Uzhavar Sandhai ),10.81,-45.97
2025-03-11,Tuesday,Raddish,Elampillai(Uzhavar Sandhai ),10.85,-45.73
2025-03-12,Wednesday,Raddish,Elampillai(Uzhavar Sandhai ),10.86,-45.69
2025-03-13,Thursday,Raddish,Elampillai(Uzhavar Sandhai ),10.87,-45.65
2025-03-07,Friday,Raddish,Hasthampatti(Uzhavar Sandhai ),10.21,-43.29
