Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ragi (Finger Millet),Kolathur,12.74,-66.48
2025-03-08,Saturday,Ragi (Finger Millet),Kolathur,10.53,-72.28
2025-03-09,Sunday,Ragi (Finger Millet),Kolathur,10.54,-72.27
2025-03-10,Monday,Ragi (Finger Millet),Kolathur,10.61,-72.09
2025-03-11,Tuesday,Ragi (Finger Millet),Kolathur,10.66,-71.96
2025-03-12,Wednesday,Ragi (Finger Millet),Kolathur,10.66,-71.94
2025-03-13,Thursday,Ragi (Finger Millet),Kolathur,10.67,-71.91
2025-03-07,Friday,Ragi (Finger Millet),Kadaiyampatti,10.98,-68.17
2025-03-08,Saturday,Ragi (Finger Millet),Kadaiyampatti,7.73,-77.59
2025-03-09,Sunday,Ragi (Finger Millet),Kadaiyampatti,7.73,-77.59
2025-03-10,Monday,Ragi (Finger Millet),Kadaiyampatti,7.73,-77.59
2025-03-11,Tuesday,Ragi (Finger Millet),Kadaiyampatti,7.78,-77.46
2025-03-12,Wednesday,Ragi (Finger Millet),Kadaiyampatti,7.78,-77.44
2025-03-13,Thursday,Ragi (Finger Millet),Kadaiyampatti,7.77,-77.47
2025-03-07,Friday,Ragi (Finger Millet),Thammampati,75.75,99.34
2025-03-08,Saturday,Ragi (Finger Millet),Thammampati,77.98,105.22
2025-03-09,Sunday,Ragi (Finger Millet),Thammampati,77.93,105.08
2025-03-10,Monday,Ragi (Finger Millet),Thammampati,77.93,105.09
2025-03-11,Tuesday,Ragi (Finger Millet),Thammampati,77.93,105.09
2025-03-12,Wednesday,Ragi (Finger Millet),Thammampati,77.94,105.11
2025-03-13,Thursday,Ragi (Finger Millet),Thammampati,77.92,105.06
2025-03-07,Friday,Ragi (Finger Millet),Thalaivasal,69.19,92.19
2025-03-08,Saturday,Ragi (Finger Millet),Thalaivasal,72.32,100.88
2025-03-09,Sunday,Ragi (Finger Millet),Thalaivasal,72.61,101.71
2025-03-10,Monday,Ragi (Finger Millet),Thalaivasal,72.62,101.73
2025-03-11,Tuesday,Ragi (Finger Millet),Thalaivasal,72.62,101.73
2025-03-12,Wednesday,Ragi (Finger Millet),Thalaivasal,72.63,101.74
2025-03-13,Thursday,Ragi (Finger Millet),Thalaivasal,72.61,101.7
