Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),12.3,-59.01
2025-03-08,Saturday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),9.89,-67.03
2025-03-09,Sunday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),9.89,-67.02
2025-03-10,Monday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),9.96,-66.78
2025-03-11,Tuesday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),10.01,-66.63
2025-03-12,Wednesday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),10.02,-66.6
2025-03-13,Thursday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),10.01,-66.62
2025-03-07,Friday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),11.75,-53.02
2025-03-08,Saturday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.57,-61.74
2025-03-09,Sunday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.57,-61.72
2025-03-10,Monday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.63,-61.47
2025-03-11,Tuesday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.68,-61.28
2025-03-12,Wednesday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.69,-61.25
2025-03-13,Thursday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),9.7,-61.21
2025-03-07,Friday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),12.17,-59.45
2025-03-08,Saturday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.77,-64.1
2025-03-09,Sunday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.77,-64.09
2025-03-10,Monday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.77,-64.1
2025-03-11,Tuesday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.82,-63.95
2025-03-12,Wednesday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.82,-63.92
2025-03-13,Thursday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),10.81,-63.95
2025-03-07,Friday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),12.23,-59.23
2025-03-08,Saturday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.14,-66.19
2025-03-09,Sunday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.14,-66.18
2025-03-10,Monday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.22,-65.93
2025-03-11,Tuesday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.27,-65.77
2025-03-12,Wednesday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.28,-65.74
2025-03-13,Thursday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),10.27,-65.77
2025-03-07,Friday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),12.12,-59.59
2025-03-08,Saturday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.24,-65.85
2025-03-09,Sunday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.25,-65.85
2025-03-10,Monday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.24,-65.87
2025-03-11,Tuesday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.28,-65.72
2025-03-12,Wednesday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.29,-65.69
2025-03-13,Thursday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),10.29,-65.71
2025-03-07,Friday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),12.58,-64.06
2025-03-08,Saturday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),9.9,-71.72
2025-03-09,Sunday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),9.9,-71.7
2025-03-10,Monday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),9.97,-71.53
2025-03-11,Tuesday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),10.01,-71.39
2025-03-12,Wednesday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),10.02,-71.37
2025-03-13,Thursday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),10.03,-71.34
2025-03-07,Friday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),12.19,-59.37
2025-03-08,Saturday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),9.59,-68.03
