Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.94,-4.06
2025-03-08,Saturday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.92,-4.08
2025-03-09,Sunday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.98,-4.02
2025-03-10,Monday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.97,-4.03
2025-03-11,Tuesday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.97,-4.03
2025-03-12,Wednesday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.97,-4.03
2025-03-13,Thursday,Rose(Local),Sooramangalam(Uzhavar Sandhai ),95.97,-4.03
2025-03-07,Friday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.47,0.47
2025-03-08,Saturday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.48,0.48
2025-03-09,Sunday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.47,0.47
2025-03-10,Monday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.45,0.45
2025-03-11,Tuesday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.46,0.46
2025-03-12,Wednesday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.46,0.46
2025-03-13,Thursday,Rose(Local),Elampillai(Uzhavar Sandhai ),100.46,0.46
2025-03-07,Friday,Rose(Local),Ammapet(Uzhavar Sandhai ),65.27,-18.41
2025-03-08,Saturday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.33,-19.59
2025-03-09,Sunday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.31,-19.62
2025-03-10,Monday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.3,-19.63
2025-03-11,Tuesday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.31,-19.61
2025-03-12,Wednesday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.31,-19.61
2025-03-13,Thursday,Rose(Local),Ammapet(Uzhavar Sandhai ),64.3,-19.62
2025-03-07,Friday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),60.33,-24.59
2025-03-08,Saturday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.77,-25.29
2025-03-09,Sunday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.76,-25.3
2025-03-10,Monday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.75,-25.31
2025-03-11,Tuesday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.75,-25.31
2025-03-12,Wednesday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.76,-25.3
2025-03-13,Thursday,Rose(Local),Thathakapatti(Uzhavar Sandhai ),59.76,-25.31
2025-03-07,Friday,Rose(Local),Athur(Uzhavar Sandhai ),78.38,-2.02
2025-03-08,Saturday,Rose(Local),Athur(Uzhavar Sandhai ),78.43,-1.97
2025-03-09,Sunday,Rose(Local),Athur(Uzhavar Sandhai ),78.42,-1.97
2025-03-10,Monday,Rose(Local),Athur(Uzhavar Sandhai ),78.41,-1.99
2025-03-11,Tuesday,Rose(Local),Athur(Uzhavar Sandhai ),78.41,-1.99
2025-03-12,Wednesday,Rose(Local),Athur(Uzhavar Sandhai ),78.42,-1.98
2025-03-13,Thursday,Rose(Local),Athur(Uzhavar Sandhai ),78.41,-1.98
2025-03-07,Friday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.58,3.23
2025-03-08,Saturday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.66,3.33
2025-03-09,Sunday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.66,3.33
2025-03-10,Monday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.65,3.31
2025-03-11,Tuesday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.65,3.31
2025-03-12,Wednesday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.66,3.32
2025-03-13,Thursday,Rose(Local),Thammampatti (Uzhavar Sandhai ),82.65,3.31
