Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Sweet Potato,Ammapet(Uzhavar Sandhai ),12.65,-63.84
2025-03-08,Saturday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.16,-70.98
2025-03-09,Sunday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.16,-70.98
2025-03-10,Monday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.23,-70.77
2025-03-11,Tuesday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.28,-70.63
2025-03-12,Wednesday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.29,-70.6
2025-03-13,Thursday,Sweet Potato,Ammapet(Uzhavar Sandhai ),10.3,-70.58
2025-03-07,Friday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),12.87,-67.83
2025-03-08,Saturday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.04,-74.91
2025-03-09,Sunday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.04,-74.9
2025-03-10,Monday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.1,-74.74
2025-03-11,Tuesday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.15,-74.62
2025-03-12,Wednesday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.16,-74.61
2025-03-13,Thursday,Sweet Potato,Hasthampatti(Uzhavar Sandhai ),10.16,-74.59
2025-03-07,Friday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),12.63,-63.9
2025-03-08,Saturday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.85,-71.87
2025-03-09,Sunday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.85,-71.87
2025-03-10,Monday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.92,-71.65
2025-03-11,Tuesday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.97,-71.51
2025-03-12,Wednesday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.98,-71.49
2025-03-13,Thursday,Sweet Potato,Jalagandapuram(Uzhavar Sandhai ),9.99,-71.47
2025-03-07,Friday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),12.66,-63.84
2025-03-08,Saturday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.02,-71.36
2025-03-09,Sunday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.02,-71.36
2025-03-10,Monday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.08,-71.19
2025-03-11,Tuesday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.13,-71.05
2025-03-12,Wednesday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.14,-71.03
2025-03-13,Thursday,Sweet Potato,Sooramangalam(Uzhavar Sandhai ),10.15,-71.01
2025-03-07,Friday,Sweet Potato,Thammampatti (Uzhavar Sandhai ),12.7,-63.72
2025-03-08,Saturday,Sweet Potato,Thammampatti (Uzhavar Sandhai ),11.1,-68.28
