Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),60.58,-24.27
2025-03-08,Saturday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.77,-25.29
2025-03-09,Sunday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.81,-25.24
2025-03-10,Monday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.8,-25.25
2025-03-11,Tuesday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.8,-25.25
2025-03-12,Wednesday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.81,-25.24
2025-03-13,Thursday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),59.81,-25.24
2025-03-07,Friday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.93,1.93
2025-03-08,Saturday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.93,1.93
2025-03-09,Sunday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.93,1.93
2025-03-10,Monday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.92,1.92
2025-03-11,Tuesday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.92,1.92
2025-03-12,Wednesday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.93,1.93
2025-03-13,Thursday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),101.93,1.93
