Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tapioca,Ammapet(Uzhavar Sandhai ),12.46,-58.48
2025-03-08,Saturday,Tapioca,Ammapet(Uzhavar Sandhai ),10.25,-65.83
2025-03-09,Sunday,Tapioca,Ammapet(Uzhavar Sandhai ),10.25,-65.82
2025-03-10,Monday,Tapioca,Ammapet(Uzhavar Sandhai ),10.32,-65.6
2025-03-11,Tuesday,Tapioca,Ammapet(Uzhavar Sandhai ),10.37,-65.43
2025-03-12,Wednesday,Tapioca,Ammapet(Uzhavar Sandhai ),10.38,-65.4
2025-03-13,Thursday,Tapioca,Ammapet(Uzhavar Sandhai ),10.39,-65.38
2025-03-07,Friday,Tapioca,Athur(Uzhavar Sandhai ),9.72,-45.99
2025-03-08,Saturday,Tapioca,Athur(Uzhavar Sandhai ),9.92,-44.89
2025-03-09,Sunday,Tapioca,Athur(Uzhavar Sandhai ),9.92,-44.88
2025-03-10,Monday,Tapioca,Athur(Uzhavar Sandhai ),9.97,-44.59
2025-03-11,Tuesday,Tapioca,Athur(Uzhavar Sandhai ),10.02,-44.35
2025-03-12,Wednesday,Tapioca,Athur(Uzhavar Sandhai ),10.02,-44.31
2025-03-13,Thursday,Tapioca,Athur(Uzhavar Sandhai ),10.03,-44.28
2025-03-07,Friday,Tapioca,Attayampatti(Uzhavar Sandhai ),12.41,-58.64
2025-03-08,Saturday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.18,-62.72
2025-03-09,Sunday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.18,-62.72
2025-03-10,Monday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.17,-62.75
2025-03-11,Tuesday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.22,-62.6
2025-03-12,Wednesday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.23,-62.57
2025-03-13,Thursday,Tapioca,Attayampatti(Uzhavar Sandhai ),11.23,-62.57
2025-03-07,Friday,Tapioca,Edapadi (Uzhavar Sandhai ),12.37,-58.76
2025-03-08,Saturday,Tapioca,Edapadi (Uzhavar Sandhai ),10.45,-65.17
2025-03-09,Sunday,Tapioca,Edapadi (Uzhavar Sandhai ),10.45,-65.17
2025-03-10,Monday,Tapioca,Edapadi (Uzhavar Sandhai ),10.51,-64.95
2025-03-11,Tuesday,Tapioca,Edapadi (Uzhavar Sandhai ),10.56,-64.81
2025-03-12,Wednesday,Tapioca,Edapadi (Uzhavar Sandhai ),10.57,-64.77
2025-03-13,Thursday,Tapioca,Edapadi (Uzhavar Sandhai ),10.57,-64.76
2025-03-07,Friday,Tapioca,Elampillai(Uzhavar Sandhai ),12.29,-59.04
2025-03-08,Saturday,Tapioca,Elampillai(Uzhavar Sandhai ),10.54,-64.87
2025-03-09,Sunday,Tapioca,Elampillai(Uzhavar Sandhai ),10.54,-64.87
2025-03-10,Monday,Tapioca,Elampillai(Uzhavar Sandhai ),10.53,-64.9
2025-03-11,Tuesday,Tapioca,Elampillai(Uzhavar Sandhai ),10.58,-64.73
2025-03-12,Wednesday,Tapioca,Elampillai(Uzhavar Sandhai ),10.59,-64.71
2025-03-13,Thursday,Tapioca,Elampillai(Uzhavar Sandhai ),10.59,-64.7
2025-03-07,Friday,Tapioca,Hasthampatti(Uzhavar Sandhai ),12.43,-58.58
2025-03-08,Saturday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.09,-66.36
2025-03-09,Sunday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.1,-66.34
2025-03-10,Monday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.16,-66.14
2025-03-11,Tuesday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.21,-65.97
2025-03-12,Wednesday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.22,-65.94
2025-03-13,Thursday,Tapioca,Hasthampatti(Uzhavar Sandhai ),10.22,-65.92
