Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tender Coconut,Ammapet(Uzhavar Sandhai ),12.41,-58.64
2025-03-08,Saturday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.19,-66.02
2025-03-09,Sunday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.19,-66.02
2025-03-10,Monday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.26,-65.79
2025-03-11,Tuesday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.31,-65.63
2025-03-12,Wednesday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.32,-65.6
2025-03-13,Thursday,Tender Coconut,Ammapet(Uzhavar Sandhai ),10.33,-65.58
2025-03-07,Friday,Tender Coconut,Athur(Uzhavar Sandhai ),11.8,-52.81
2025-03-08,Saturday,Tender Coconut,Athur(Uzhavar Sandhai ),9.84,-60.63
2025-03-09,Sunday,Tender Coconut,Athur(Uzhavar Sandhai ),9.84,-60.62
2025-03-10,Monday,Tender Coconut,Athur(Uzhavar Sandhai ),9.9,-60.4
2025-03-11,Tuesday,Tender Coconut,Athur(Uzhavar Sandhai ),9.94,-60.23
2025-03-12,Wednesday,Tender Coconut,Athur(Uzhavar Sandhai ),9.95,-60.2
2025-03-13,Thursday,Tender Coconut,Athur(Uzhavar Sandhai ),9.96,-60.17
2025-03-07,Friday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),12.33,-58.9
2025-03-08,Saturday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),9.94,-66.87
2025-03-09,Sunday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),9.94,-66.87
2025-03-10,Monday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),10.01,-66.64
2025-03-11,Tuesday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),10.05,-66.51
2025-03-12,Wednesday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),10.06,-66.48
2025-03-13,Thursday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),10.06,-66.46
2025-03-07,Friday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),12.41,-58.64
2025-03-08,Saturday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.0,-66.67
2025-03-09,Sunday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.0,-66.66
2025-03-10,Monday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.06,-66.46
2025-03-11,Tuesday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.11,-66.3
2025-03-12,Wednesday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.12,-66.28
2025-03-13,Thursday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),10.12,-66.25
2025-03-07,Friday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),12.34,-58.85
2025-03-08,Saturday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.13,-62.91
2025-03-09,Sunday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.13,-62.91
2025-03-10,Monday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.12,-62.93
2025-03-11,Tuesday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.16,-62.8
2025-03-12,Wednesday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.17,-62.77
2025-03-13,Thursday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),11.17,-62.75
2025-03-07,Friday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),12.0,-52.0
2025-03-08,Saturday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.02,-59.91
2025-03-09,Sunday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.02,-59.9
2025-03-10,Monday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.09,-59.66
2025-03-11,Tuesday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.13,-59.47
2025-03-12,Wednesday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.14,-59.44
2025-03-13,Thursday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),10.15,-59.41
2025-03-07,Friday,Tender Coconut,Mettur(Uzhavar Sandhai ),12.4,-58.66
2025-03-08,Saturday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.05,-66.51
2025-03-09,Sunday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.05,-66.5
2025-03-10,Monday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.11,-66.29
2025-03-11,Tuesday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.16,-66.13
2025-03-12,Wednesday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.17,-66.1
2025-03-13,Thursday,Tender Coconut,Mettur(Uzhavar Sandhai ),10.18,-66.08
