Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Thondekai,Ammapet(Uzhavar Sandhai ),13.18,-73.64
2025-03-08,Saturday,Thondekai,Ammapet(Uzhavar Sandhai ),10.24,-79.52
2025-03-09,Sunday,Thondekai,Ammapet(Uzhavar Sandhai ),10.23,-79.53
2025-03-10,Monday,Thondekai,Ammapet(Uzhavar Sandhai ),10.3,-79.4
2025-03-11,Tuesday,Thondekai,Ammapet(Uzhavar Sandhai ),10.35,-79.3
2025-03-12,Wednesday,Thondekai,Ammapet(Uzhavar Sandhai ),10.36,-79.28
2025-03-13,Thursday,Thondekai,Ammapet(Uzhavar Sandhai ),10.37,-79.27
2025-03-07,Friday,Thondekai,Hasthampatti(Uzhavar Sandhai ),13.27,-73.46
2025-03-08,Saturday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.25,-79.5
2025-03-09,Sunday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.25,-79.51
2025-03-10,Monday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.3,-79.4
2025-03-11,Tuesday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.35,-79.3
2025-03-12,Wednesday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.36,-79.28
2025-03-13,Thursday,Thondekai,Hasthampatti(Uzhavar Sandhai ),10.37,-79.26
2025-03-07,Friday,Thondekai,Sooramangalam(Uzhavar Sandhai ),13.29,-73.43
2025-03-08,Saturday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.19,-79.61
2025-03-09,Sunday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.19,-79.61
2025-03-10,Monday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.25,-79.5
2025-03-11,Tuesday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.3,-79.4
2025-03-12,Wednesday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.31,-79.38
2025-03-13,Thursday,Thondekai,Sooramangalam(Uzhavar Sandhai ),10.32,-79.36
2025-03-07,Friday,Thondekai,Thathakapatti(Uzhavar Sandhai ),13.2,-73.59
2025-03-08,Saturday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.17,-79.66
2025-03-09,Sunday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.17,-79.67
2025-03-10,Monday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.22,-79.55
2025-03-11,Tuesday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.27,-79.45
2025-03-12,Wednesday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.28,-79.43
2025-03-13,Thursday,Thondekai,Thathakapatti(Uzhavar Sandhai ),10.29,-79.41
2025-03-07,Friday,Thondekai,Athur(Uzhavar Sandhai ),15.57,-68.86
2025-03-08,Saturday,Thondekai,Athur(Uzhavar Sandhai ),14.14,-71.73
2025-03-09,Sunday,Thondekai,Athur(Uzhavar Sandhai ),14.13,-71.74
2025-03-10,Monday,Thondekai,Athur(Uzhavar Sandhai ),14.13,-71.74
2025-03-11,Tuesday,Thondekai,Athur(Uzhavar Sandhai ),14.13,-71.73
2025-03-12,Wednesday,Thondekai,Athur(Uzhavar Sandhai ),14.14,-71.72
2025-03-13,Thursday,Thondekai,Athur(Uzhavar Sandhai ),14.14,-71.73
2025-03-07,Friday,Thondekai,Elampillai(Uzhavar Sandhai ),16.51,-66.97
2025-03-08,Saturday,Thondekai,Elampillai(Uzhavar Sandhai ),14.82,-70.36
2025-03-09,Sunday,Thondekai,Elampillai(Uzhavar Sandhai ),14.83,-70.35
2025-03-10,Monday,Thondekai,Elampillai(Uzhavar Sandhai ),14.83,-70.35
2025-03-11,Tuesday,Thondekai,Elampillai(Uzhavar Sandhai ),14.83,-70.35
2025-03-12,Wednesday,Thondekai,Elampillai(Uzhavar Sandhai ),14.83,-70.33
2025-03-13,Thursday,Thondekai,Elampillai(Uzhavar Sandhai ),14.83,-70.34
2025-03-07,Friday,Thondekai,Mettur(Uzhavar Sandhai ),13.99,-72.01
2025-03-08,Saturday,Thondekai,Mettur(Uzhavar Sandhai ),12.5,-75.0
2025-03-09,Sunday,Thondekai,Mettur(Uzhavar Sandhai ),12.49,-75.02
2025-03-10,Monday,Thondekai,Mettur(Uzhavar Sandhai ),12.47,-75.05
2025-03-11,Tuesday,Thondekai,Mettur(Uzhavar Sandhai ),12.46,-75.07
2025-03-12,Wednesday,Thondekai,Mettur(Uzhavar Sandhai ),12.48,-75.05
2025-03-13,Thursday,Thondekai,Mettur(Uzhavar Sandhai ),12.49,-75.03
2025-03-07,Friday,Thondekai,Thammampatti (Uzhavar Sandhai ),12.89,-67.78
2025-03-08,Saturday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.21,-71.97
2025-03-09,Sunday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.21,-71.98
2025-03-10,Monday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.2,-71.99
2025-03-11,Tuesday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.25,-71.87
2025-03-12,Wednesday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.26,-71.84
2025-03-13,Thursday,Thondekai,Thammampatti (Uzhavar Sandhai ),11.27,-71.83
