Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tomato,Ammapet(Uzhavar Sandhai ),10.28,-14.33
2025-03-08,Saturday,Tomato,Ammapet(Uzhavar Sandhai ),10.29,-14.27
2025-03-09,Sunday,Tomato,Ammapet(Uzhavar Sandhai ),10.29,-14.27
2025-03-10,Monday,Tomato,Ammapet(Uzhavar Sandhai ),10.36,-13.66
2025-03-11,Tuesday,Tomato,Ammapet(Uzhavar Sandhai ),10.41,-13.26
2025-03-12,Wednesday,Tomato,Ammapet(Uzhavar Sandhai ),10.42,-13.18
2025-03-13,Thursday,Tomato,Ammapet(Uzhavar Sandhai ),10.43,-13.1
2025-03-07,Friday,Tomato,Athur(Uzhavar Sandhai ),9.92,-0.75
2025-03-08,Saturday,Tomato,Athur(Uzhavar Sandhai ),9.93,-0.66
2025-03-09,Sunday,Tomato,Athur(Uzhavar Sandhai ),9.93,-0.67
2025-03-10,Monday,Tomato,Athur(Uzhavar Sandhai ),10.0,-0.03
2025-03-11,Tuesday,Tomato,Athur(Uzhavar Sandhai ),10.05,0.46
2025-03-12,Wednesday,Tomato,Athur(Uzhavar Sandhai ),10.05,0.53
2025-03-13,Thursday,Tomato,Athur(Uzhavar Sandhai ),10.06,0.63
2025-03-07,Friday,Tomato,Attayampatti(Uzhavar Sandhai ),11.16,-7.02
2025-03-08,Saturday,Tomato,Attayampatti(Uzhavar Sandhai ),11.17,-6.94
2025-03-09,Sunday,Tomato,Attayampatti(Uzhavar Sandhai ),11.16,-6.96
2025-03-10,Monday,Tomato,Attayampatti(Uzhavar Sandhai ),11.16,-6.97
2025-03-11,Tuesday,Tomato,Attayampatti(Uzhavar Sandhai ),11.21,-6.56
2025-03-12,Wednesday,Tomato,Attayampatti(Uzhavar Sandhai ),11.22,-6.49
2025-03-13,Thursday,Tomato,Attayampatti(Uzhavar Sandhai ),11.23,-6.45
2025-03-07,Friday,Tomato,Edapadi (Uzhavar Sandhai ),10.46,-12.86
2025-03-08,Saturday,Tomato,Edapadi (Uzhavar Sandhai ),10.47,-12.78
2025-03-09,Sunday,Tomato,Edapadi (Uzhavar Sandhai ),10.46,-12.8
2025-03-10,Monday,Tomato,Edapadi (Uzhavar Sandhai ),10.54,-12.16
2025-03-11,Tuesday,Tomato,Edapadi (Uzhavar Sandhai ),10.59,-11.74
2025-03-12,Wednesday,Tomato,Edapadi (Uzhavar Sandhai ),10.6,-11.67
2025-03-13,Thursday,Tomato,Edapadi (Uzhavar Sandhai ),10.61,-11.62
2025-03-07,Friday,Tomato,Elampillai(Uzhavar Sandhai ),10.58,-11.83
2025-03-08,Saturday,Tomato,Elampillai(Uzhavar Sandhai ),10.59,-11.75
2025-03-09,Sunday,Tomato,Elampillai(Uzhavar Sandhai ),10.59,-11.77
2025-03-10,Monday,Tomato,Elampillai(Uzhavar Sandhai ),10.58,-11.83
2025-03-11,Tuesday,Tomato,Elampillai(Uzhavar Sandhai ),10.63,-11.42
2025-03-12,Wednesday,Tomato,Elampillai(Uzhavar Sandhai ),10.64,-11.36
2025-03-13,Thursday,Tomato,Elampillai(Uzhavar Sandhai ),10.64,-11.3
2025-03-07,Friday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.18,-21.68
2025-03-08,Saturday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.19,-21.62
2025-03-09,Sunday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.19,-21.6
2025-03-10,Monday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.25,-21.12
2025-03-11,Tuesday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.3,-20.74
2025-03-12,Wednesday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.31,-20.68
2025-03-13,Thursday,Tomato,Hasthampatti(Uzhavar Sandhai ),10.32,-20.6
2025-03-07,Friday,Tomato,Jalagandapuram(Uzhavar Sandhai ),9.99,-0.07
2025-03-08,Saturday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.0,0.02
2025-03-09,Sunday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.0,0.0
2025-03-10,Monday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.07,0.72
2025-03-11,Tuesday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.12,1.22
2025-03-12,Wednesday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.13,1.32
2025-03-13,Thursday,Tomato,Jalagandapuram(Uzhavar Sandhai ),10.14,1.41
2025-03-07,Friday,Tomato,Mettur(Uzhavar Sandhai ),10.17,27.19
2025-03-08,Saturday,Tomato,Mettur(Uzhavar Sandhai ),10.18,27.29
2025-03-09,Sunday,Tomato,Mettur(Uzhavar Sandhai ),10.19,27.33
2025-03-10,Monday,Tomato,Mettur(Uzhavar Sandhai ),10.25,28.15
2025-03-11,Tuesday,Tomato,Mettur(Uzhavar Sandhai ),10.3,28.76
2025-03-12,Wednesday,Tomato,Mettur(Uzhavar Sandhai ),10.31,28.89
2025-03-13,Thursday,Tomato,Mettur(Uzhavar Sandhai ),10.32,29.0
2025-03-07,Friday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.13,-15.62
2025-03-08,Saturday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.13,-15.56
2025-03-09,Sunday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.13,-15.55
2025-03-10,Monday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.2,-15.01
2025-03-11,Tuesday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.25,-14.6
2025-03-12,Wednesday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.26,-14.53
2025-03-13,Thursday,Tomato,Sooramangalam(Uzhavar Sandhai ),10.27,-14.45
2025-03-07,Friday,Tomato,Thammampatti (Uzhavar Sandhai ),11.19,11.85
2025-03-08,Saturday,Tomato,Thammampatti (Uzhavar Sandhai ),11.2,11.95
2025-03-09,Sunday,Tomato,Thammampatti (Uzhavar Sandhai ),11.19,11.94
2025-03-10,Monday,Tomato,Thammampatti (Uzhavar Sandhai ),11.19,11.91
2025-03-11,Tuesday,Tomato,Thammampatti (Uzhavar Sandhai ),11.24,12.41
2025-03-12,Wednesday,Tomato,Thammampatti (Uzhavar Sandhai ),11.25,12.49
2025-03-13,Thursday,Tomato,Thammampatti (Uzhavar Sandhai ),11.25,12.54
2025-03-07,Friday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.16,-15.32
2025-03-08,Saturday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.17,-15.25
2025-03-09,Sunday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.17,-15.25
2025-03-10,Monday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.23,-14.71
2025-03-11,Tuesday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.28,-14.31
2025-03-12,Wednesday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.29,-14.23
2025-03-13,Thursday,Tomato,Thathakapatti(Uzhavar Sandhai ),10.3,-14.16
