Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.87,1.87
2025-03-08,Saturday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.87,1.87
2025-03-09,Sunday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.87,1.87
2025-03-10,Monday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-11,Tuesday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-12,Wednesday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-13,Thursday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),101.85,1.85
2025-03-07,Friday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.31,-0.69
2025-03-08,Saturday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.34,-0.66
2025-03-09,Sunday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.35,-0.65
2025-03-10,Monday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.32,-0.68
2025-03-11,Tuesday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.33,-0.67
2025-03-12,Wednesday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.34,-0.66
2025-03-13,Thursday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),99.34,-0.66
