Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.84,-4.16
2025-03-08,Saturday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.88,-4.12
2025-03-09,Sunday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.95,-4.05
2025-03-10,Monday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.93,-4.07
2025-03-11,Tuesday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.93,-4.07
2025-03-12,Wednesday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.94,-4.06
2025-03-13,Thursday,Turnip,Sooramangalam(Uzhavar Sandhai ),95.95,-4.05
2025-03-07,Friday,Turnip,Athur(Uzhavar Sandhai ),9.8,-50.99
2025-03-08,Saturday,Turnip,Athur(Uzhavar Sandhai ),9.46,-52.7
2025-03-09,Sunday,Turnip,Athur(Uzhavar Sandhai ),9.46,-52.71
2025-03-10,Monday,Turnip,Athur(Uzhavar Sandhai ),9.5,-52.48
2025-03-11,Tuesday,Turnip,Athur(Uzhavar Sandhai ),9.55,-52.24
2025-03-12,Wednesday,Turnip,Athur(Uzhavar Sandhai ),9.56,-52.2
2025-03-13,Thursday,Turnip,Athur(Uzhavar Sandhai ),9.56,-52.22
