Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Water Melon,Ammapet(Uzhavar Sandhai ),10.99,-45.07
2025-03-08,Saturday,Water Melon,Ammapet(Uzhavar Sandhai ),10.6,-46.98
2025-03-09,Sunday,Water Melon,Ammapet(Uzhavar Sandhai ),10.61,-46.97
2025-03-10,Monday,Water Melon,Ammapet(Uzhavar Sandhai ),10.67,-46.63
2025-03-11,Tuesday,Water Melon,Ammapet(Uzhavar Sandhai ),10.73,-46.33
2025-03-12,Wednesday,Water Melon,Ammapet(Uzhavar Sandhai ),10.74,-46.28
2025-03-13,Thursday,Water Melon,Ammapet(Uzhavar Sandhai ),10.75,-46.24
2025-03-07,Friday,Water Melon,Athur(Uzhavar Sandhai ),10.93,-45.34
2025-03-08,Saturday,Water Melon,Athur(Uzhavar Sandhai ),10.3,-48.48
2025-03-09,Sunday,Water Melon,Athur(Uzhavar Sandhai ),10.31,-48.47
2025-03-10,Monday,Water Melon,Athur(Uzhavar Sandhai ),10.36,-48.18
2025-03-11,Tuesday,Water Melon,Athur(Uzhavar Sandhai ),10.42,-47.89
2025-03-12,Wednesday,Water Melon,Athur(Uzhavar Sandhai ),10.43,-47.83
2025-03-13,Thursday,Water Melon,Athur(Uzhavar Sandhai ),10.44,-47.79
2025-03-07,Friday,Water Melon,Mettur(Uzhavar Sandhai ),10.4,-30.65
2025-03-08,Saturday,Water Melon,Mettur(Uzhavar Sandhai ),10.4,-30.64
2025-03-09,Sunday,Water Melon,Mettur(Uzhavar Sandhai ),10.41,-30.61
2025-03-10,Monday,Water Melon,Mettur(Uzhavar Sandhai ),10.47,-30.2
2025-03-11,Tuesday,Water Melon,Mettur(Uzhavar Sandhai ),10.53,-29.79
2025-03-12,Wednesday,Water Melon,Mettur(Uzhavar Sandhai ),10.54,-29.73
2025-03-13,Thursday,Water Melon,Mettur(Uzhavar Sandhai ),10.55,-29.67
2025-03-07,Friday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.2,-43.32
2025-03-08,Saturday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.4,-42.24
2025-03-09,Sunday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.4,-42.22
2025-03-10,Monday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.46,-41.88
2025-03-11,Tuesday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.52,-41.55
2025-03-12,Wednesday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.53,-41.5
2025-03-13,Thursday,Water Melon,Thathakapatti(Uzhavar Sandhai ),10.54,-41.45
2025-03-07,Friday,Water Melon,Sooramangalam(Uzhavar Sandhai ),13.28,-73.43
2025-03-08,Saturday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.29,-79.42
2025-03-09,Sunday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.29,-79.42
2025-03-10,Monday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.35,-79.31
2025-03-11,Tuesday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.41,-79.19
2025-03-12,Wednesday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.42,-79.16
2025-03-13,Thursday,Water Melon,Sooramangalam(Uzhavar Sandhai ),10.43,-79.14
2025-03-07,Friday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.18,-43.46
2025-03-08,Saturday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.37,-42.39
2025-03-09,Sunday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.37,-42.39
2025-03-10,Monday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.43,-42.04
2025-03-11,Tuesday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.49,-41.71
2025-03-12,Wednesday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.5,-41.66
2025-03-13,Thursday,Water Melon,Hasthampatti(Uzhavar Sandhai ),10.51,-41.61
2025-03-07,Friday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),11.02,-44.88
2025-03-08,Saturday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.39,-48.07
2025-03-09,Sunday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.39,-48.06
2025-03-10,Monday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.46,-47.72
2025-03-11,Tuesday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.52,-47.41
2025-03-12,Wednesday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.53,-47.37
2025-03-13,Thursday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),10.54,-47.32
