Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),25.52,-57.46
2025-03-08,Saturday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.7,-60.5
2025-03-09,Sunday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.33,-61.11
2025-03-10,Monday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.27,-61.22
2025-03-11,Tuesday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.27,-61.22
2025-03-12,Wednesday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.28,-61.2
2025-03-13,Thursday,Yam (Ratalu),Ammapet(Uzhavar Sandhai ),23.28,-61.2
2025-03-07,Friday,Yam (Ratalu),Athur(Uzhavar Sandhai ),36.56,-39.07
2025-03-08,Saturday,Yam (Ratalu),Athur(Uzhavar Sandhai ),33.78,-43.7
2025-03-09,Sunday,Yam (Ratalu),Athur(Uzhavar Sandhai ),33.1,-44.84
2025-03-10,Monday,Yam (Ratalu),Athur(Uzhavar Sandhai ),32.88,-45.19
2025-03-11,Tuesday,Yam (Ratalu),Athur(Uzhavar Sandhai ),32.88,-45.19
2025-03-12,Wednesday,Yam (Ratalu),Athur(Uzhavar Sandhai ),32.89,-45.18
2025-03-13,Thursday,Yam (Ratalu),Athur(Uzhavar Sandhai ),32.89,-45.18
2025-03-07,Friday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),46.27,-38.31
2025-03-08,Saturday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.86,-40.18
2025-03-09,Sunday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.8,-40.26
2025-03-10,Monday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.8,-40.27
2025-03-11,Tuesday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.8,-40.27
2025-03-12,Wednesday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.81,-40.26
2025-03-13,Thursday,Yam (Ratalu),Hasthampatti(Uzhavar Sandhai ),44.8,-40.26
2025-03-07,Friday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),48.33,-35.55
2025-03-08,Saturday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),47.12,-37.18
2025-03-09,Sunday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),46.9,-37.46
2025-03-10,Monday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),46.9,-37.47
2025-03-11,Tuesday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),46.9,-37.47
2025-03-12,Wednesday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),46.9,-37.46
2025-03-13,Thursday,Yam (Ratalu),Sooramangalam(Uzhavar Sandhai ),46.9,-37.46
2025-03-07,Friday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),11.96,-70.11
2025-03-08,Saturday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.22,-74.45
2025-03-09,Sunday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.22,-74.45
2025-03-10,Monday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.15,-74.63
2025-03-11,Tuesday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.2,-74.51
2025-03-12,Wednesday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.21,-74.47
2025-03-13,Thursday,Yam (Ratalu),Thammampatti (Uzhavar Sandhai ),10.22,-74.46
2025-03-07,Friday,Yam (Ratalu),Thathakapatti(Uzhavar Sandhai ),53.68,-28.43
2025-03-08,Saturday,Yam (Ratalu),Thathakapatti(Uzhavar Sandhai ),53.13,-29.15
2025-03-09,Sunday,Yam (Ratalu),Thathakapatti(Uzhavar Sandhai ),53.18,-29.09
2025-03-10,Monday,Yam (Ratalu),Thathakapatti(Uzhavar Sandhai ),53.18,-29.1
